stop_id,search_details_id,search_details_type,search_details_description,,
1444956,1628241,ActionTaken,Citation,,
1444958,NULL,NULL,NULL,,
1444906,1628186,ActionTaken,Verbal Warning,,
1444908,1628188,ActionTaken,Verbal Warning,,
1444910,1628190,ActionTaken,Citation,,
1445101,1628386,ActionTaken,Citation,,
1445101,1628387,SearchType,Driver,,
1445101,1628388,SearchBasis,4th Waiver Search,,
1444911,1628191,ActionTaken,Citation,,
1444919,NULL,NULL,NULL,,
1444913,1628193,ActionTaken,Verbal Warning,,
1444914,1628194,ActionTaken,Written Warning,,
1444915,1628195,ActionTaken,Citation,,
1444916,1628196,ActionTaken,Verbal Warning,,
1444917,1628197,ActionTaken,Verbal Warning,,
1444918,1628198,ActionTaken,Verbal Warning,,
1444920,1628199,ActionTaken,Verbal Warning,,
1444921,1628200,ActionTaken,Citation,,
1444922,1628201,ActionTaken,Other,,
1444922,1628202,ActionTakenOther,MISTAKE PC. FREE TO LEAVE,,
1445116,1628408,ActionTaken,Citation,,
1444949,1628229,ActionTaken,Citation,,
1444949,1628230,SearchType,Vehicle,,
1444949,1628231,SearchBasis,Consent Search,,
1444923,1628203,ActionTaken,Citation,,
1444924,1628204,ActionTaken,Verbal Warning,,
1445129,1628423,ActionTaken,Verbal Warning,,
1444925,1628205,ActionTaken,Verbal Warning,,
1445687,1629014,ActionTaken,Citation,,
1444926,1628206,ActionTaken,Verbal Warning,,
1445691,1629018,ActionTaken,Citation,,
1444927,1628207,ActionTaken,Citation,,
1445689,1629016,ActionTaken,Citation,,
1445642,1628969,ActionTaken,Citation,,
1444928,1628208,ActionTaken,Verbal Warning,,
1444960,1628244,ActionTaken,Citation,,
1445688,1629015,ActionTaken,Citation,,
1444929,1628209,ActionTaken,Verbal Warning,,
1445144,1628437,ActionTaken,Citation,,
1444930,1628210,ActionTaken,Verbal Warning,,
1445643,1628970,ActionTaken,Citation,,
1445694,1629021,ActionTaken,Citation,,
1444931,1628211,ActionTaken,Written Warning,,
1444932,1628212,ActionTaken,Citation,,
1445666,1628993,ActionTaken,Citation,,
1445637,1628964,ActionTaken,Citation,,
1444933,1628213,ActionTaken,Verbal Warning,,
1445644,1628971,ActionTaken,Citation,,
1447104,1630484,ActionTaken,Citation,,
1444934,1628214,ActionTaken,Verbal Warning,,
1444935,1628215,ActionTaken,Citation,,
1444937,1628217,ActionTaken,Citation,,
1445667,1628994,ActionTaken,Citation,,
1444936,1628216,ActionTaken,Citation,,
1445693,1629020,ActionTaken,Citation,,
1445654,1628981,ActionTaken,Citation,,
1445645,1628972,ActionTaken,Citation,,
1445668,1628995,ActionTaken,Citation,,
1444938,1628218,ActionTaken,Citation,,
1445646,1628973,ActionTaken,Citation,,
1445670,1628997,ActionTaken,Citation,,
1445680,1629007,ActionTaken,Citation,,
1445692,1629019,ActionTaken,Citation,,
1444939,1628219,ActionTaken,Verbal Warning,,
1444943,1628223,ActionTaken,Citation,,
1444940,1628220,ActionTaken,Verbal Warning,,
1444942,1628222,ActionTaken,Verbal Warning,,
1445655,1628982,ActionTaken,Citation,,
1445671,1628998,ActionTaken,Citation,,
1444944,1628224,ActionTaken,Citation,,
1444952,1628235,ActionTaken,Citation,,
1444952,1628236,SearchType,Vehicle,,
1444952,1628237,SearchBasis,Inventory Search [Prior to Impound],,
1445697,1629024,ActionTaken,Citation,,
1445672,1628999,ActionTaken,Citation,,
1444945,1628225,ActionTaken,Verbal Warning,,
1444941,1628221,ActionTaken,Citation,,
1444947,1628227,ActionTaken,FI,,
1444946,1628226,ActionTaken,Verbal Warning,,
1445656,1628983,ActionTaken,Citation,,
1444948,1628228,ActionTaken,Citation,,
1444954,1628239,ActionTaken,Citation,,
1445647,1628974,ActionTaken,Citation,,
1444953,1628238,ActionTaken,Citation,,
1445650,1628977,ActionTaken,Citation,,
1445673,1629000,ActionTaken,Citation,,
1444955,1628240,ActionTaken,Citation,,
1445684,1629011,ActionTaken,Citation,,
1445665,1628992,ActionTaken,Citation,,
1445631,1628959,ActionTaken,Written Warning,,
1445675,1629002,ActionTaken,Citation,,
1445685,1629012,ActionTaken,Citation,,
1445632,1628960,ActionTaken,Written Warning,,
1445696,1629023,ActionTaken,Citation,,
1444957,1628242,ActionTaken,Citation,,
1445188,1628477,ActionTaken,Citation,,
1444959,1628243,ActionTaken,Verbal Warning,,
1445638,1628965,ActionTaken,Citation,,
1445674,1629001,ActionTaken,Citation,,
1445695,1629022,ActionTaken,Written Warning,,
1444962,NULL,NULL,NULL,,
1445681,1629008,ActionTaken,Citation,,
1445633,1628961,ActionTaken,Citation,,
1444961,1628245,ActionTaken,Verbal Warning,,
1445658,1628985,ActionTaken,Citation,,
1444963,1628246,ActionTaken,Verbal Warning,,
1445639,1628966,ActionTaken,Citation,,
1445699,1629026,ActionTaken,Citation,,
1445659,1628986,ActionTaken,Citation,,
1445698,1629025,ActionTaken,Citation,,
1444965,1628248,ActionTaken,Citation,,
1445657,1628984,ActionTaken,Citation,,
1444971,1628253,ActionTaken,Verbal Warning,,
1445653,1628980,ActionTaken,Written Warning,,
1444964,1628247,ActionTaken,Citation,,
1445634,1628962,ActionTaken,Citation,,
1445660,1628987,ActionTaken,Citation,,
1445661,1628988,ActionTaken,Citation,,
1445682,1629009,ActionTaken,Written Warning,,
1444966,NULL,NULL,NULL,,
1445652,1628979,ActionTaken,Citation,,
1445683,1629010,ActionTaken,Citation,,
1445662,1628989,ActionTaken,Citation,,
1445640,1628967,ActionTaken,Citation,,
1444967,1628249,ActionTaken,Verbal Warning,,
1444968,1628250,ActionTaken,Verbal Warning,,
1445636,1628963,ActionTaken,Citation,,
1444969,1628251,ActionTaken,Verbal Warning,,
1445641,1628968,ActionTaken,Citation,,
1444970,1628252,ActionTaken,Citation,,
1445663,1628990,ActionTaken,Citation,,
1444974,1628256,ActionTaken,Written Warning,,
1444973,1628255,ActionTaken,Verbal Warning,,
1445004,1628273,ActionTaken,Citation,,
1444977,NULL,NULL,NULL,,
1444978,NULL,NULL,NULL,,
1444975,1628257,ActionTaken,Verbal Warning,,
1444976,1628258,ActionTaken,Verbal Warning,,
1445011,NULL,NULL,NULL,,
1444979,NULL,NULL,NULL,,
1444986,1628263,ActionTaken,Verbal Warning,,
1444984,1628262,ActionTaken,Citation,,
1444981,NULL,NULL,NULL,,
1444980,1628259,ActionTaken,Citation,,
1444982,1628260,ActionTaken,Verbal Warning,,
1444983,1628261,ActionTaken,Written Warning,,
1444985,NULL,NULL,NULL,,
1444987,1628264,ActionTaken,Citation,,
1444988,NULL,NULL,NULL,,
1444989,NULL,NULL,NULL,,
1444990,1628265,ActionTaken,Verbal Warning,,
1444992,NULL,NULL,NULL,,
1444991,NULL,NULL,NULL,,
1444994,NULL,NULL,NULL,,
1444993,1628266,ActionTaken,Citation,,
1444998,1628269,ActionTaken,Citation,,
1444996,NULL,NULL,NULL,,
1445000,NULL,NULL,NULL,,
1444995,1628267,ActionTaken,Verbal Warning,,
1445009,1628275,ActionTaken,Verbal Warning,,
1444999,1628270,ActionTaken,Verbal Warning,,
1445099,1628379,ActionTaken,Verbal Warning,,
1445099,1628380,SearchType,Vehicle,,
1445099,1628381,SearchType,Driver,,
1445099,1628382,SearchType,Passenger,,
1445099,1628383,SearchBasis,4th Waiver Search,,
1445002,1628271,ActionTaken,Verbal Warning,,
1445001,NULL,NULL,NULL,,
1445003,1628272,ActionTaken,Citation,,
1445006,NULL,NULL,NULL,,
1445005,NULL,NULL,NULL,,
1445007,1628274,ActionTaken,Verbal Warning,,
1445010,1628276,ActionTaken,Verbal Warning,,
1445010,1628277,ActionTaken,FI,,
1445008,NULL,NULL,NULL,,
1445012,1628278,ActionTaken,Verbal Warning,,
1444997,1628268,ActionTaken,Verbal Warning,,
1445065,1628334,ActionTaken,Citation,,
1445065,1628335,ActionTaken,Other,,
1445065,1628336,ActionTakenOther,VIMP,,
1445065,1628337,SearchType,Vehicle,,
1445065,1628338,SearchBasis,Inventory Search [Prior to Impound],,
1445017,NULL,NULL,NULL,,
1445033,1628300,ActionTaken,Citation,,
1445013,1628279,ActionTaken,Verbal Warning,,
1445014,1628280,ActionTaken,Verbal Warning,,
1445015,1628281,ActionTaken,Verbal Warning,,
1445018,NULL,NULL,NULL,,
1445016,1628282,ActionTaken,Citation,,
1445016,1628283,ActionTaken,FI,,
1445016,1628284,SearchType,Vehicle,,
1445016,1628285,SearchType,Driver,,
1445016,1628286,SearchBasis,Consent Search,,
1445019,NULL,NULL,NULL,,
1445022,1628289,ActionTaken,Citation,,
1445020,1628287,ActionTaken,Citation,,
1445027,1628294,ActionTaken,Citation,,
1445082,1628356,ActionTaken,Citation,,
1445024,1628291,ActionTaken,Verbal Warning,,
1445023,1628290,ActionTaken,Verbal Warning,,
1445025,1628292,ActionTaken,Verbal Warning,,
1445028,1628295,ActionTaken,Citation,,
1445026,1628293,ActionTaken,Verbal Warning,,
1445021,1628288,ActionTaken,Citation,,
1445036,1628303,ActionTaken,Citation,,
1445029,1628296,ActionTaken,Verbal Warning,,
1445032,1628299,ActionTaken,Verbal Warning,,
1445047,1628314,ActionTaken,Citation,,
1445047,1628315,SearchType,Vehicle,,
1445047,1628316,SearchBasis,Inventory Search [Prior to Impound],,
1445030,1628297,ActionTaken,Verbal Warning,,
1445035,1628302,ActionTaken,Citation,,
1445031,1628298,ActionTaken,Verbal Warning,,
1445037,1628304,ActionTaken,Citation,,
1445034,1628301,ActionTaken,Verbal Warning,,
1445038,1628305,ActionTaken,Verbal Warning,,
1445039,1628306,ActionTaken,Citation,,
1445042,1628309,ActionTaken,Verbal Warning,,
1445041,1628308,ActionTaken,Verbal Warning,,
1445045,1628312,ActionTaken,Citation,,
1445040,1628307,ActionTaken,Verbal Warning,,
1445043,1628310,ActionTaken,Verbal Warning,,
1445044,1628311,ActionTaken,Citation,,
1445048,1628317,ActionTaken,Citation,,
1445046,1628313,ActionTaken,Verbal Warning,,
1445055,1628324,ActionTaken,Citation,,
1445051,1628320,ActionTaken,Citation,,
1445050,1628319,ActionTaken,Citation,,
1445049,1628318,ActionTaken,Citation,,
1445054,1628323,ActionTaken,Citation,,
1445052,1628321,ActionTaken,Citation,,
1445057,1628326,ActionTaken,Verbal Warning,,
1445058,1628327,ActionTaken,Written Warning,,
1445053,1628322,ActionTaken,Verbal Warning,,
1445059,1628328,ActionTaken,Citation,,
1445056,1628325,ActionTaken,Citation,,
1445061,1628330,ActionTaken,Citation,,
1445060,1628329,ActionTaken,Verbal Warning,,
1445062,1628331,ActionTaken,Verbal Warning,,
1445063,1628332,ActionTaken,Verbal Warning,,
1445104,1628393,ActionTaken,Citation,,
1445104,1628394,SearchType,Passenger,,
1445104,1628395,SearchBasis,4th Waiver Search,,
1445064,1628333,ActionTaken,Verbal Warning,,
1445068,1628341,ActionTaken,Citation,,
1445069,1628342,ActionTaken,Verbal Warning,,
1445066,1628339,ActionTaken,Verbal Warning,,
1445067,1628340,ActionTaken,Citation,,
1445072,1628345,ActionTaken,Verbal Warning,,
1445095,1628371,ActionTaken,Other,,
1445095,1628372,ActionTakenOther,ARRESTED,,
1445095,1628373,SearchType,Driver,,
1445095,1628374,SearchBasis,Search incident to Arrest,,
1445071,1628344,ActionTaken,Verbal Warning,,
1445096,NULL,NULL,NULL,,
1445073,1628346,ActionTaken,Citation,,
1445075,1628349,ActionTaken,Citation,,
1445086,1628360,ActionTaken,Citation,,
1445080,1628354,ActionTaken,Citation,,
1445076,1628350,ActionTaken,Verbal Warning,,
1445093,1628367,ActionTaken,Citation,,
1445093,1628368,SearchType,Vehicle,,
1445093,1628369,SearchBasis,Inventory Search [Prior to Impound],,
1445070,1628343,ActionTaken,Citation,,
1445077,1628351,ActionTaken,Citation,,
1445083,1628357,ActionTaken,Citation,,
1445074,1628347,ActionTaken,Verbal Warning,,
1445074,1628348,ActionTaken,FI,,
1445078,1628352,ActionTaken,Citation,,
1445079,1628353,ActionTaken,Verbal Warning,,
1445081,1628355,ActionTaken,Citation,,
1445084,1628358,ActionTaken,Verbal Warning,,
1445087,1628361,ActionTaken,Citation,,
1445085,1628359,ActionTaken,Verbal Warning,,
1445088,1628362,ActionTaken,Citation,,
1445092,1628366,ActionTaken,Citation,,
1445089,1628363,ActionTaken,Verbal Warning,,
1445091,1628365,ActionTaken,Verbal Warning,,
1445313,1628609,ActionTaken,Other,,
1445313,1628610,ActionTakenOther,ARREST PASSENGER,,
1445313,1628611,SearchType,Vehicle,,
