stop_id,search_details_id,search_details_type,search_details_description,,
1448711,1632155,ActionTaken,Citation,,
1448951,1632416,ActionTaken,Citation,,
1448712,1632156,ActionTaken,Citation,,
1448650,1632097,ActionTaken,Verbal Warning,,
1448652,1632099,ActionTaken,Citation,,
1448651,1632098,ActionTaken,Verbal Warning,,
1448649,1632096,ActionTaken,Verbal Warning,,
1448714,1632158,ActionTaken,Citation,,
1448748,NULL,NULL,NULL,,
1450662,1634160,ActionTaken,Citation,,
1448653,1632100,ActionTaken,Verbal Warning,,
1450697,1634197,ActionTaken,Citation,,
1450679,1634177,ActionTaken,Citation,,
1449518,1632978,ActionTaken,Citation,,
1448655,1632102,ActionTaken,Verbal Warning,,
1448656,1632103,ActionTaken,Citation,,
1450663,1634161,ActionTaken,Citation,,
1448658,1632105,ActionTaken,FI,,
1450673,1634171,ActionTaken,Written Warning,,
1449513,NULL,NULL,NULL,,
1450664,1634162,ActionTaken,Citation,,
1450712,1634212,ActionTaken,Verbal Warning,,
1450699,1634199,ActionTaken,Citation,,
1449523,1632983,ActionTaken,Citation,,
1449516,1632976,ActionTaken,Citation,,
1450666,1634164,ActionTaken,Citation,,
1449510,1632971,ActionTaken,Written Warning,,
1449546,1633006,ActionTaken,Citation,,
1450874,1634389,ActionTaken,Citation,,
1450711,1634211,ActionTaken,Written Warning,,
1450658,1634156,ActionTaken,Citation,,
1449512,1632973,ActionTaken,Citation,,
1450678,1634176,ActionTaken,Citation,,
1450667,1634165,ActionTaken,Citation,,
1449544,1633004,ActionTaken,Written Warning,,
1448667,1632114,ActionTaken,FI,,
1449517,1632977,ActionTaken,Citation,,
1449509,1632970,ActionTaken,Written Warning,,
1448669,1632116,ActionTaken,Citation,,
1448668,1632115,ActionTaken,Citation,,
1448760,NULL,NULL,NULL,,
1449511,1632972,ActionTaken,Citation,,
1448720,1632164,ActionTaken,Citation,,
1448721,1632165,ActionTaken,Citation,,
1448674,1632125,ActionTaken,Citation,,
1448722,1632166,ActionTaken,Citation,,
1448761,1632201,ActionTaken,Citation,,
1450668,1634166,ActionTaken,Citation,,
1448724,1632168,ActionTaken,Citation,,
1448725,1632169,ActionTaken,Citation,,
1448677,NULL,NULL,NULL,,
1448762,NULL,NULL,NULL,,
1448727,1632171,ActionTaken,Citation,,
1448676,1632126,ActionTaken,Citation,,
1448675,NULL,NULL,NULL,,
1448729,1632172,ActionTaken,Verbal Warning,,
1448673,1632124,ActionTaken,Citation,,
1448680,1632129,ActionTaken,Citation,,
1448678,1632127,ActionTaken,Verbal Warning,,
1448682,1632131,ActionTaken,Citation,,
1448681,1632130,ActionTaken,Citation,,
1448679,1632128,ActionTaken,Verbal Warning,,
1448697,1632144,ActionTaken,Citation,,
1448849,1632277,ActionTaken,Citation,,
1448683,1632132,ActionTaken,Citation,,
1450669,1634167,ActionTaken,Citation,,
1448684,1632133,ActionTaken,Written Warning,,
1448850,1632278,ActionTaken,Citation,,
1448689,NULL,NULL,NULL,,
1448687,NULL,NULL,NULL,,
1448730,1632173,ActionTaken,Citation,,
1448688,NULL,NULL,NULL,,
1448698,1632145,ActionTaken,Citation,,
1448686,1632137,ActionTaken,Verbal Warning,,
1448690,1632138,ActionTaken,Citation,,
1448692,1632140,ActionTaken,Written Warning,,
1448700,1632146,ActionTaken,Verbal Warning,,
1448851,1632279,ActionTaken,Citation,,
1448694,1632141,ActionTaken,Citation,,
1450670,1634168,ActionTaken,Citation,,
1450670,1634168,ActionTaken,Written Warning,,
1448691,1632139,ActionTaken,Verbal Warning,,
1448735,1632178,ActionTaken,Citation,,
1448701,NULL,NULL,NULL,,
1448693,NULL,NULL,NULL,,
1450671,1634169,ActionTaken,Citation,,
1448699,NULL,NULL,NULL,,
1448695,1632142,ActionTaken,Citation,,
1448696,1632143,ActionTaken,Citation,,
1448708,1632153,ActionTaken,Citation,,
1448864,1632294,ActionTaken,Citation,,
1448864,1632295,ActionTaken,Other,,
1448864,1632296,ActionTakenOther,TOW,,
1448702,1632147,ActionTaken,Citation,,
1450672,1634170,ActionTaken,Citation,,
1448723,1632167,ActionTaken,Citation,,
1448685,1632134,ActionTaken,Citation,,
1448685,1632135,SearchType,Vehicle,,
1448685,1632136,SearchBasis,Inventory Search [Prior to Impound],,
1448704,1632149,ActionTaken,Citation,,
1448703,1632148,ActionTaken,Verbal Warning,,
1448726,1632170,ActionTaken,Citation,,
1448742,1632187,ActionTaken,Citation,,
1448742,1632188,ActionTaken,Other,,
1448742,1632189,ActionTakenOther,VIMP,,
1448710,NULL,NULL,NULL,,
1448731,1632174,ActionTaken,Verbal Warning,,
1448715,1632159,ActionTaken,Citation,,
1449505,1632966,ActionTaken,Citation,,
1448719,1632163,ActionTaken,Citation,,
1448717,1632161,ActionTaken,Written Warning,,
1448853,1632281,ActionTaken,Citation,,
1448739,1632181,ActionTaken,Other,,
1448739,1632182,ActionTakenOther,ARRESTED FOR WARRANT,,
1448739,1632183,SearchType,Driver,,
1448739,1632184,SearchBasis,Search incident to Arrest,,
1448732,1632175,ActionTaken,Citation,,
1448728,NULL,NULL,NULL,,
1448733,1632176,ActionTaken,Verbal Warning,,
1448854,1632282,ActionTaken,Citation,,
1448771,1632213,ActionTaken,Citation,,
1448764,1632203,ActionTaken,Citation,,
1448768,1632207,ActionTaken,Citation,,
1448768,1632208,SearchType,Vehicle,,
1448768,1632209,SearchType,Driver,,
1448768,1632210,SearchType,Passenger,,
1448768,1632211,SearchBasis,4th Waiver Search,,
1448734,1632177,ActionTaken,Citation,,
1448855,1632283,ActionTaken,Citation,,
1448737,1632179,ActionTaken,Citation,,
1448756,NULL,NULL,NULL,,
1448738,1632180,ActionTaken,Verbal Warning,,
1448736,NULL,NULL,NULL,,
1448740,1632185,ActionTaken,Written Warning,,
1448856,1632284,ActionTaken,Citation,,
1448758,1632199,ActionTaken,Citation,,
1448741,1632186,ActionTaken,Verbal Warning,,
1448769,1632212,ActionTaken,Citation,,
1448746,1632192,ActionTaken,Verbal Warning,,
1448749,1632194,ActionTaken,Verbal Warning,,
1448759,1632200,ActionTaken,Verbal Warning,,
1448857,1632285,ActionTaken,Citation,,
1448765,1632204,ActionTaken,Citation,,
1448763,1632202,ActionTaken,Citation,,
1448770,NULL,NULL,NULL,,
1448773,1632215,ActionTaken,Citation,,
1448766,1632205,ActionTaken,Verbal Warning,,
1448767,1632206,ActionTaken,Citation,,
1448772,1632214,ActionTaken,Verbal Warning,,
1448776,1632218,ActionTaken,Citation,,
1448775,1632217,ActionTaken,Citation,,
1448826,NULL,NULL,NULL,,
1448774,1632216,ActionTaken,Verbal Warning,,
1448779,1632221,ActionTaken,Citation,,
1448778,1632220,ActionTaken,Verbal Warning,,
1448786,NULL,NULL,NULL,,
1448777,1632219,ActionTaken,Verbal Warning,,
1448827,NULL,NULL,NULL,,
1448780,NULL,NULL,NULL,,
1448828,NULL,NULL,NULL,,
1448781,1632222,ActionTaken,Citation,,
1448783,1632224,ActionTaken,Verbal Warning,,
1448785,1632225,ActionTaken,Citation,,
1448782,1632223,ActionTaken,Verbal Warning,,
1448784,NULL,NULL,NULL,,
1448791,1632230,ActionTaken,Citation,,
1448791,1632231,SearchType,Vehicle,,
1448791,1632232,SearchBasis,Inventory Search [Prior to Impound],,
1448789,1632228,ActionTaken,Written Warning,,
1448787,1632226,ActionTaken,Verbal Warning,,
1448788,1632227,ActionTaken,Verbal Warning,,
1448793,1632234,ActionTaken,Citation,,
1448790,1632229,ActionTaken,Citation,,
1448792,1632233,ActionTaken,Citation,,
1448796,1632237,ActionTaken,Citation,,
1448798,1632239,ActionTaken,Citation,,
1448794,1632235,ActionTaken,Verbal Warning,,
1448893,1632336,ActionTaken,Verbal Warning,,
1448893,1632337,ActionTaken,FI,,
1448893,1632338,SearchType,Passenger,,
1448893,1632339,SearchBasis,4th Waiver Search,,
1448799,1632240,ActionTaken,Verbal Warning,,
1448795,1632236,ActionTaken,Citation,,
1448797,1632238,ActionTaken,Verbal Warning,,
1448800,1632241,ActionTaken,Verbal Warning,,
1448801,1632242,ActionTaken,Citation,,
1448803,1632243,ActionTaken,Citation,,
1448802,NULL,NULL,NULL,,
1448804,1632244,ActionTaken,Written Warning,,
1448858,1632286,ActionTaken,Citation,,
1448805,NULL,NULL,NULL,,
1448830,NULL,NULL,NULL,,
1448808,1632246,ActionTaken,Citation,,
1448807,NULL,NULL,NULL,,
1448809,1632247,ActionTaken,Citation,,
1448810,1632248,ActionTaken,Citation,,
1448831,NULL,NULL,NULL,,
1448815,1632253,ActionTaken,Citation,,
1448806,1632245,ActionTaken,Verbal Warning,,
1448819,1632256,ActionTaken,Citation,,
1448813,1632251,ActionTaken,Citation,,
1448811,1632249,ActionTaken,Citation,,
1448812,1632250,ActionTaken,Verbal Warning,,
1448814,1632252,ActionTaken,Verbal Warning,,
1448816,NULL,NULL,NULL,,
1448818,1632255,ActionTaken,Citation,,
1448822,1632259,ActionTaken,Citation,,
1448817,1632254,ActionTaken,Verbal Warning,,
1448919,1632370,ActionTaken,Citation,,
1448919,1632371,SearchType,Driver,,
1448919,1632372,SearchBasis,Consent Search,,
1448832,1632262,ActionTaken,Citation,,
1448821,1632258,ActionTaken,Citation,,
1448825,NULL,NULL,NULL,,
1448823,1632260,ActionTaken,Citation,,
1448836,1632265,ActionTaken,Citation,,
1448820,1632257,ActionTaken,Citation,,
1448829,NULL,NULL,NULL,,
1448896,1632342,ActionTaken,Citation,,
1448824,1632261,ActionTaken,FI,,
1448920,1632373,ActionTaken,Citation,,
1448920,1632374,SearchType,Driver,,
1448920,1632375,SearchBasis,Consent Search,,
1448834,1632264,ActionTaken,Citation,,
1448897,1632343,ActionTaken,Other,,
1448897,1632344,ActionTakenOther,ARREST,,
1448897,1632345,SearchType,Driver,,
1448897,1632346,SearchBasis,Search incident to Arrest,,
1448835,NULL,NULL,NULL,,
1448837,1632266,ActionTaken,Verbal Warning,,
1448838,1632267,ActionTaken,Verbal Warning,,
1448842,1632271,ActionTaken,Citation,,
1448839,1632268,ActionTaken,Verbal Warning,,
1448840,1632269,ActionTaken,Written Warning,,
1448845,1632274,ActionTaken,Citation,,
1448841,1632270,ActionTaken,Citation,,
1448861,1632289,ActionTaken,Citation,,
1448861,1632290,SearchType,Vehicle,,
1448861,1632291,SearchBasis,Inventory Search [Prior to Impound],,
1448846,NULL,NULL,NULL,,
1448918,1632369,ActionTaken,Citation,,
1448844,1632273,ActionTaken,Verbal Warning,,
1448847,1632275,ActionTaken,Citation,,
1448885,1632324,ActionTaken,Citation,,
1448885,1632325,SearchType,Driver,,
1448885,1632326,SearchBasis,4th Waiver Search,,
1448921,1632376,ActionTaken,Citation,,
1448921,1632377,SearchType,Driver,,
1448921,1632378,SearchBasis,Consent Search,,
1448859,1632287,ActionTaken,Verbal Warning,,
1448884,1632320,ActionTaken,Other,,
1448884,1632321,ActionTakenOther,ARREST,,
1448884,1632322,SearchType,Driver,,
1448884,1632323,SearchBasis,Search incident to Arrest,,
1448833,1632263,ActionTaken,Citation,,
1448860,1632288,ActionTaken,Citation,,
1448848,1632276,ActionTaken,Verbal Warning,,
1448863,1632293,ActionTaken,Citation,,
1448862,1632292,ActionTaken,Citation,,
1448870,NULL,NULL,NULL,,
1448867,1632299,ActionTaken,Verbal Warning,,
1448871,1632302,ActionTaken,Citation,,
1448872,1632303,ActionTaken,Verbal Warning,,
1448865,1632297,ActionTaken,Citation,,
1448868,1632300,ActionTaken,Citation,,
1448866,1632298,ActionTaken,Verbal Warning,,
1448877,1632307,ActionTaken,Citation,,
1448873,1632304,ActionTaken,Citation,,
1448869,1632301,ActionTaken,Verbal Warning,,
1448875,1632306,ActionTaken,Citation,,
1448876,NULL,NULL,NULL,,
1448874,1632305,ActionTaken,Verbal Warning,,
1448878,1632308,ActionTaken,Citation,,
1448880,1632310,ActionTaken,FI,,
1448880,1632311,SearchType,Passenger,,
1448880,1632312,SearchBasis,4th Waiver Search, PAROLE ,
1448882,1632318,ActionTaken,Verbal Warning,,
1448879,1632309,ActionTaken,Citation,,
1448887,1632328,ActionTaken,Citation,,
1448889,1632330,ActionTaken,Verbal Warning,,
1448890,1632331,ActionTaken,Citation,,
1448881,1632313,ActionTaken,Verbal Warning,,
1448881,1632314,ActionTaken,FI,,
1448881,1632315,SearchType,Vehicle,,
1448881,1632316,SearchType,Driver,,
1448881,1632317,SearchBasis,4th Waiver Search,,
1448886,1632327,ActionTaken,Citation,,
1448883,1632319,ActionTaken,Verbal Warning,,
1448891,1632332,ActionTaken,Citation,,
1448891,1632333,SearchType,Vehicle,,
1448891,1632334,SearchBasis,Inventory Search [Prior to Impound],,
1448888,1632329,ActionTaken,Verbal Warning,,
1448892,1632335,ActionTaken,Verbal Warning,,
1448900,1632350,ActionTaken,Citation,,
1448900,1632351,SearchType,Vehicle,,
1448894,1632340,ActionTaken,Verbal Warning,,
1450682,1634179,ActionTaken,Written Warning,,
1449006,1632470,ActionTaken,Verbal Warning,,
1449015,1632476,ActionTaken,Verbal Warning,,
1449015,1632477,SearchType,Driver,,
1450744,1634244,ActionTaken,Citation,,
1451028,1634545,ActionTaken,Citation,,
1450742,1634242,ActionTaken,Other,,
1449042,1632500,ActionTaken,Citation,,
1448899,1632348,ActionTaken,Other,,
1448899,1632349,ActionTakenOther,NOTICE OF VIOLATION,,
1449013,1632475,ActionTaken,Citation,,
1449059,1632522,ActionTaken,Citation,,
1448898,1632347,ActionTaken,Verbal Warning,,
1448903,1632354,ActionTaken,FI,,
1449203,1632664,ActionTaken,Verbal Warning,,
1448905,1632356,ActionTaken,Citation,,
1449046,1632504,ActionTaken,Citation,,
1449011,NULL,NULL,NULL,,
1448901,1632352,ActionTaken,Verbal Warning,,
1449060,1632523,ActionTaken,Citation,,
1449012,1632474,ActionTaken,Written Warning,,
1449016,1632478,ActionTaken,Written Warning,,
1449014,NULL,NULL,NULL,,
1448902,1632353,ActionTaken,Verbal Warning,,
1448904,1632355,ActionTaken,Verbal Warning,,
1449017,1632479,ActionTaken,Verbal Warning,,
1449023,1632486,ActionTaken,Verbal Warning,,
1449061,1632524,ActionTaken,Citation,,
1449061,1632525,ActionTaken,Written Warning,,
1449047,1632505,ActionTaken,Citation,,
1449019,1632480,ActionTaken,Verbal Warning,,
1449024,1632487,ActionTaken,Citation,,
1448906,1632357,ActionTaken,Verbal Warning,,
1449021,NULL,NULL,NULL,,
1449018,NULL,NULL,NULL,,
1449062,1632526,ActionTaken,Citation,,
1449048,1632506,ActionTaken,Citation,,
1450830,1634335,ActionTaken,Citation,,
1448907,1632358,ActionTaken,Verbal Warning,,
1448909,1632360,ActionTaken,Verbal Warning,,
1448910,1632361,ActionTaken,Verbal Warning,,
1448911,1632362,ActionTaken,Verbal Warning,,
1448908,1632359,ActionTaken,Verbal Warning,,
1448912,1632363,ActionTaken,Verbal Warning,,
1448913,1632364,ActionTaken,Verbal Warning,,
1448915,1632366,ActionTaken,Verbal Warning,,
1448914,1632365,ActionTaken,Verbal Warning,,
1448916,1632367,ActionTaken,Citation,,
1448923,1632382,ActionTaken,Citation,,
1448923,1632383,SearchType,Vehicle,,
1448923,1632384,SearchBasis,Inventory Search [Prior to Impound],,
1448932,1632395,ActionTaken,Citation,,
1448932,1632396,SearchType,Vehicle,,
1448932,1632397,SearchType,Driver,,
1448932,1632398,SearchBasis,Inventory Search [Prior to Impound],,
1448917,1632368,ActionTaken,Verbal Warning,,
1448929,1632390,ActionTaken,Citation,,
1448929,1632391,SearchType,Vehicle,,
1448929,1632392,SearchBasis,Inventory Search [Prior to Impound],,
1448924,1632385,ActionTaken,Verbal Warning,,
1448931,1632394,ActionTaken,Citation,,
1448925,1632386,ActionTaken,Verbal Warning,,
1448922,1632379,ActionTaken,Citation,,
1448922,1632380,SearchType,Driver,,
1448922,1632381,SearchBasis,Inventory Search [Prior to Impound],,
1448926,1632387,ActionTaken,Verbal Warning,,
1448927,1632388,ActionTaken,Verbal Warning,,
1448928,1632389,ActionTaken,Verbal Warning,,
1448930,1632393,ActionTaken,Verbal Warning,,
1448933,1632399,ActionTaken,Verbal Warning,,
1448934,1632400,ActionTaken,Verbal Warning,,
1448935,1632401,ActionTaken,Verbal Warning,,
1449938,1633411,ActionTaken,Citation,,
1449940,1633413,ActionTaken,Citation,,
1449036,1632495,ActionTaken,Citation,,
1448936,NULL,NULL,NULL,,
1451030,1634547,ActionTaken,Citation,,
1448947,1632412,ActionTaken,Citation,,
1448940,1632405,ActionTaken,Verbal Warning,,
1448937,1632402,ActionTaken,Verbal Warning,,
1448939,1632404,ActionTaken,Verbal Warning,,
1448941,1632406,ActionTaken,Verbal Warning,,
1448946,1632411,ActionTaken,Verbal Warning,,
1448938,1632403,ActionTaken,Verbal Warning,,
1448953,1632417,ActionTaken,Citation,,
1450797,1634302,ActionTaken,Citation,,
1448949,1632414,ActionTaken,Citation,,
1448963,NULL,NULL,NULL,,
1448978,1632437,ActionTaken,Other,,
1448978,1632438,ActionTakenOther,ARREST,,
1448978,1632439,SearchType,Vehicle,,
1448978,1632440,SearchType,Driver,,
1448978,1632441,SearchBasis,4th Waiver Search,,
1450796,1634301,ActionTaken,Citation,,
1450826,1634331,ActionTaken,Citation,,
1448952,NULL,NULL,NULL,,
1448954,1632418,ActionTaken,Citation,,
1448955,1632419,ActionTaken,Citation,,
1450795,1634300,ActionTaken,Citation,,
1450732,1634232,ActionTaken,Citation,,
1448956,1632420,ActionTaken,Citation,,
1448959,1632422,ActionTaken,Citation,,
1448960,1632423,ActionTaken,Citation,,
1448957,1632421,ActionTaken,Citation,,
1450794,1634299,ActionTaken,Citation,,
1450731,1634231,ActionTaken,Citation,,
1450900,1634415,ActionTaken,Written Warning,,
1448961,1632424,ActionTaken,Citation,,
1448958,NULL,NULL,NULL,,
1457133,1640669,ActionTaken,Citation,,
1450729,1634229,ActionTaken,Citation,,
1450793,1634298,ActionTaken,Citation,,
1448962,1632425,ActionTaken,Written Warning,,
1450730,1634230,ActionTaken,Citation,,
1448964,1632426,ActionTaken,Citation,,
1449045,1632503,ActionTaken,Citation,,
1449038,1632497,ActionTaken,Citation,,
1450828,1634333,ActionTaken,Written Warning,,
1448966,1632427,ActionTaken,Citation,,
1450829,1634334,ActionTaken,Citation,,
1450804,1634309,ActionTaken,Citation,,
1449043,1632501,ActionTaken,Written Warning,,
1448965,NULL,NULL,NULL,,
1449020,1632481,ActionTaken,FI,,
1449020,1632482,SearchType,Vehicle,,
1449020,1632483,SearchType,Driver,,
1449020,1632484,SearchBasis,4th Waiver Search,,
1450827,1634332,ActionTaken,Citation,,
1450899,1634414,ActionTaken,Written Warning,,
1450814,1634319,ActionTaken,Citation,,
1448968,1632429,ActionTaken,Verbal Warning,,
1457132,1640668,ActionTaken,Citation,,
1448967,1632428,ActionTaken,Written Warning,,
1449049,1632507,ActionTaken,Citation,,
1448969,1632430,ActionTaken,Citation,,
1448971,1632431,ActionTaken,Citation,,
1450898,1634413,ActionTaken,Citation,,
1450816,1634321,ActionTaken,Citation,,
1451014,NULL,NULL,NULL,,
1448970,NULL,NULL,NULL,,
1448975,1632435,ActionTaken,Citation,,
1450727,1634227,ActionTaken,Citation,,
1450817,1634322,ActionTaken,Citation,,
1449051,1632509,ActionTaken,Citation,,
1449051,1632510,ActionTaken,Written Warning,,
1448972,1632432,ActionTaken,Citation,,
1448973,1632433,ActionTaken,Verbal Warning,,
1449022,1632485,ActionTaken,Citation,,
1448985,1632449,ActionTaken,Verbal Warning,,
1450726,1634226,ActionTaken,Citation,,
1449054,1632513,ActionTaken,Citation,,
1451013,1634532,ActionTaken,Citation,,
1450787,1634292,ActionTaken,Citation,,
1448976,1632436,ActionTaken,Citation,,
1449936,1633409,ActionTaken,Written Warning,,
1448977,NULL,NULL,NULL,,
1450818,1634323,ActionTaken,Citation,,
1450792,1634297,ActionTaken,Citation,,
1450786,1634291,ActionTaken,Citation,,
1448981,1632445,ActionTaken,Citation,,
1448987,1632450,ActionTaken,Other,,
1448987,1632451,ActionTakenOther,ARREST,,
1448987,1632452,SearchType,Driver,,
1448987,1632453,SearchBasis,Search incident to Arrest,,
1450725,1634225,ActionTaken,Citation,,
1449037,1632496,ActionTaken,Citation,,
1449939,1633412,ActionTaken,Citation,,
1450819,1634324,ActionTaken,Citation,,
1449069,1632531,ActionTaken,Other,,
1449069,1632532,ActionTakenOther,ARREST,,
1449069,1632533,SearchType,Driver,,
1449069,1632534,SearchBasis,Search incident to Arrest,,
1449005,1632469,ActionTaken,Citation,,
1448979,1632442,ActionTaken,Written Warning,,
1450791,1634296,ActionTaken,Citation,,
1450993,1634510,ActionTaken,Citation,,
1448980,1632443,ActionTaken,Other,,
1448980,1632444,ActionTakenOther,VEH DISCOVERED COMPLIANT,,
1450820,1634325,ActionTaken,Citation,,
1449055,1632514,ActionTaken,Citation,,
1449055,1632515,ActionTaken,Written Warning,,
1449942,1633415,ActionTaken,Citation,,
1448982,1632446,ActionTaken,Written Warning,,
1450724,1634224,ActionTaken,Citation,,
1450821,1634326,ActionTaken,Citation,,
1450812,1634317,ActionTaken,Citation,,
1450735,1634235,ActionTaken,Citation,,
1449039,1632498,ActionTaken,Citation,,
1448983,1632447,ActionTaken,Citation,,
1450813,1634318,ActionTaken,Citation,,
1448984,1632448,ActionTaken,Citation,,
1449056,1632516,ActionTaken,Citation,,
1449056,1632517,ActionTaken,Written Warning,,
1448974,1632434,ActionTaken,Verbal Warning,,
1450741,1634241,ActionTaken,Citation,,
1449943,1633416,ActionTaken,Citation,,
1450788,1634293,ActionTaken,Citation,,
1450991,1634506,ActionTaken,Citation,,
1449057,1632518,ActionTaken,Citation,,
1449057,1632519,ActionTaken,Written Warning,,
1450895,1634410,ActionTaken,Citation,,
1448988,1632454,ActionTaken,Citation,,
1450990,1634505,ActionTaken,Citation,,
1448992,1632458,ActionTaken,Written Warning,,
1449058,1632520,ActionTaken,Citation,,
1449058,1632521,ActionTaken,Written Warning,,
1451024,1634541,ActionTaken,Citation,,
1448986,NULL,NULL,NULL,,
1449935,1633408,ActionTaken,Citation,,
1450721,1634221,ActionTaken,Written Warning,,
1449040,NULL,NULL,NULL,,
1448993,1632459,ActionTaken,Citation,,
1450989,1634504,ActionTaken,Citation,,
1451022,NULL,NULL,NULL,,
1450988,1634503,ActionTaken,Citation,,
1451003,1634522,ActionTaken,Citation,,
1449934,1633407,ActionTaken,Citation,,
1448989,1632455,ActionTaken,Verbal Warning,,
1448991,1632457,ActionTaken,Written Warning,,
1450734,1634234,ActionTaken,Citation,,
1451033,1634550,ActionTaken,Citation,,
1450747,1634247,ActionTaken,Citation,,
1448994,1632460,ActionTaken,Citation,,
1450738,1634238,ActionTaken,Citation,,
1451006,1634525,ActionTaken,Written Warning,,
1450761,1634266,ActionTaken,Citation,,
1450749,1634251,ActionTaken,Citation,,
1450810,1634315,ActionTaken,Citation,,
1450740,1634240,ActionTaken,Citation,,
1450750,1634252,ActionTaken,Citation,,
1450720,1634220,ActionTaken,Written Warning,,
1451034,NULL,NULL,NULL,,
1450987,1634502,ActionTaken,Citation,,
1449933,1633406,ActionTaken,Citation,,
1448996,NULL,NULL,NULL,,
1448995,1632461,ActionTaken,Citation,,
1450809,1634314,ActionTaken,Citation,,
1450986,1634501,ActionTaken,Citation,,
1449041,1632499,ActionTaken,Citation,,
1450737,1634237,ActionTaken,Citation,,
1451035,1634551,ActionTaken,Citation,,
1448998,1632463,ActionTaken,Citation,,
1450808,1634313,ActionTaken,Citation,,
1448997,1632462,ActionTaken,Verbal Warning,,
1450739,1634239,ActionTaken,Citation,,
1450985,1634500,ActionTaken,Citation,,
1450807,1634312,ActionTaken,Citation,,
1449929,1633402,ActionTaken,Written Warning,,
1448999,1632464,ActionTaken,Verbal Warning,,
1450789,1634294,ActionTaken,Written Warning,,
1449004,1632468,ActionTaken,Verbal Warning,,
1451036,1634552,ActionTaken,Citation,,
1449000,NULL,NULL,NULL,,
1450806,1634311,ActionTaken,Citation,,
1451012,1634531,ActionTaken,Citation,,
1451037,1634553,ActionTaken,Written Warning,,
1449001,1632465,ActionTaken,Verbal Warning,,
1449932,1633405,ActionTaken,Citation,,
1450894,1634409,ActionTaken,Citation,,
1450805,1634310,ActionTaken,Citation,,
1450890,1634405,ActionTaken,Citation,,
1451038,1634554,ActionTaken,Citation,,
1449002,1632466,ActionTaken,Citation,,
1449931,1633404,ActionTaken,Citation,,
1449003,1632467,ActionTaken,Citation,,
1451039,1634555,ActionTaken,Other,,
1450983,1634498,ActionTaken,Citation,,
1450983,1634498,SearchType,Vehicle,,
1450983,1634498,SearchBasis,Inventory Search,,
1449007,NULL,NULL,NULL,,
1450881,1634396,ActionTaken,Written Warning,,
1450733,1634233,ActionTaken,Written Warning,,
1449010,1632473,ActionTaken,Citation,,
1450889,1634404,ActionTaken,Citation,,
1449009,NULL,NULL,NULL,,
1449008,1632471,ActionTaken,Other,,
1449008,1632472,ActionTakenOther,DL310,,
1450785,1634290,ActionTaken,Citation,,
1450880,1634395,ActionTaken,Citation,,
1451002,1634521,ActionTaken,Citation,,
1450784,1634289,ActionTaken,Written Warning,,
1450882,1634397,ActionTaken,Citation,,
1451000,1634519,ActionTaken,Citation,,
1450772,1634277,ActionTaken,Written Warning,,
1450774,1634279,ActionTaken,Written Warning,,
1451015,1634533,ActionTaken,Citation,,
1450776,1634281,ActionTaken,Written Warning,,
1450783,1634288,ActionTaken,Citation,,
1450822,1634327,ActionTaken,Citation,,
1450886,1634401,ActionTaken,Citation,,
1451016,1634534,ActionTaken,Citation,,
1450770,1634275,ActionTaken,Citation,,
1451017,1634535,ActionTaken,Citation,,
1450999,1634518,ActionTaken,Written Warning,,
1451007,1634526,ActionTaken,Written Warning,,
1451043,1634559,ActionTaken,Citation,,
1450823,1634328,ActionTaken,Citation,,
1450723,1634223,ActionTaken,Written Warning,,
1450888,1634403,ActionTaken,Citation,,
1451005,1634524,ActionTaken,Written Warning,,
1451019,1634537,ActionTaken,Citation,,
1450979,1634494,ActionTaken,Citation,,
1450746,1634246,ActionTaken,Citation,,
1451011,1634530,ActionTaken,Citation,,
1450824,1634329,ActionTaken,Citation,,
1451044,1634560,ActionTaken,Citation,,
1451020,1634538,ActionTaken,Citation,,
1450771,1634276,ActionTaken,Written Warning,,
1449026,1632489,ActionTaken,Citation,,
1450769,1634274,ActionTaken,Citation,,
1451010,1634529,ActionTaken,Citation,,
1449063,1632527,ActionTaken,Citation,,
1450763,1634268,ActionTaken,Citation,,
1450997,1634516,ActionTaken,Citation,,
1449025,1632488,ActionTaken,Verbal Warning,,
1449027,1632490,ActionTaken,Verbal Warning,,
1451027,1634544,ActionTaken,Written Warning,,
1449947,1633420,ActionTaken,Citation,,
1450768,1634273,ActionTaken,Citation,,
1449028,1632491,ActionTaken,Citation,,
1450777,1634282,ActionTaken,Written Warning,,
1450751,1634253,ActionTaken,Citation,,
1451009,1634528,ActionTaken,Citation,,
1450995,1634512,ActionTaken,Citation,,
1449044,1632502,ActionTaken,Citation,,
1450825,1634330,ActionTaken,Citation,,
1451023,1634540,ActionTaken,Written Warning,,
1451042,1634558,ActionTaken,Written Warning,,
1449946,1633419,ActionTaken,Citation,,
1450778,1634283,ActionTaken,Citation,,
1450767,1634272,ActionTaken,Citation,,
1451008,1634527,ActionTaken,Citation,,
1450884,1634399,ActionTaken,Citation,,
1450779,1634284,ActionTaken,Citation,,
1450752,1634254,ActionTaken,Citation,,
1451025,1634543,ActionTaken,Citation,,
1449032,NULL,NULL,NULL,,
1450981,1634496,ActionTaken,Written Warning,,
1450885,1634400,ActionTaken,Citation,,
1449029,1632492,ActionTaken,Verbal Warning,,
1449944,1633417,ActionTaken,Citation,,
1451040,1634556,ActionTaken,Citation,,
1451031,1634548,ActionTaken,Citation,,
1450764,1634269,ActionTaken,Citation,,
