cz,cz_name,cz_pop2000,cz_pop_black2000,cz_pop_hisp2000,cz_pop_white2000,kfr_pooled_p25,kfr_black_pooled_p25,kfr_white_pooled_p25,kir_black_female_p25,kir_black_female_p75,kir_black_male_p25,kir_black_male_p75,kir_hisp_female_p25,kir_hisp_female_p75,kir_hisp_male_p25,kir_hisp_male_p75,kir_white_female_p25,kir_white_female_p75,kir_white_male_p25,kir_white_male_p75
11800,Mount Pleasant,136888,2865,3634,125528,40.93,38.85,41.57,41.59,41.16,39.9,39.95,37.66,48.35,43.04,53.02,35.39,50.74,45.2,62.5
11900,Saginaw,540707,41898,22090,464106,40.55,29.9,43.27,38.94,48.65,34.4,45.92,37.52,46.75,42.38,54.91,37.8,51.14,46.23,61.1
12001,Big Rapids,120045,2862,1417,112730,40.81,30.84,42.01,41.21,54.18,34.4,57.51,32.95,43.93,38.59,52.37,35.5,49.86,46.03,61.38
12002,Ludington,52801,588,1491,49357,41.54,36.58,42.62,42.97,58.84,40.14,44.9,35.06,42.75,43.7,59.83,36.4,50.14,46.5,62.95
12100,Kalamazoo,509606,41956,17127,432164,38.06,30.31,40.6,39.49,49.36,35.9,50.31,38.6,49.31,46.66,58.45,36.4,50.42,45.05,61.02
12200,Grand Rapids,1286045,82323,76985,1084402,39.51,29.64,42.49,38.27,48.38,35.52,48.65,37.52,45.56,45.56,55.24,36.17,48.63,46.59,62.6
12301,Traverse City,154452,463,2508,147250,41.93,38.53,42.72,37.93,54,43.77,62.88,37.52,44.91,50.1,54.62,37.65,50.88,46.95,60.49
12302,Petoskey,83975,246,759,79420,41.42,16.45,42.13,30.18,44.24,,,38.93,44.56,37.63,61.19,37.73,50.81,44.54,59.9
12401,Alpena,84783,235,610,82451,41.93,39.91,42.62,35.94,24.05,51.32,58.25,36.38,42.75,43.53,62.01,36.99,51.58,46.36,62.07
12402,Grayling charter,104421,397,929,101220,41.42,29.01,42.13,32.63,49.86,36.37,43.52,40.38,44.56,47.2,58.56,36.8,49.07,45.5,60.35
12501,Dayton,1179009,137294,12951,996568,37.88,30.76,40.6,39.85,50.34,35.9,48.38,38.93,49.82,41.97,58.22,36.65,50.49,45.2,62.39
12502,Washington Court House,109851,2052,834,105243,38.42,29.01,39.4,37.22,47.45,31.47,45.48,44.27,39.72,31.8,65.06,35.5,50.04,43.33,59.71
12600,Wayne,104034,4039,1125,96977,37.4,30.4,38.38,37.84,50.78,35.74,49.28,37.06,46.61,43.19,68.64,34.06,47.02,42.05,58.64
12701,Cincinnati,1954800,229585,22372,1652370,37.18,30.15,40.43,39.96,52.97,34.72,50.04,38.36,51.72,43.97,58.56,37.21,52.88,44.87,63.22
12702,Maysville,52963,1472,364,50581,39.74,34.29,40.68,42.81,50.61,39.79,45.92,41.95,41.97,50.84,72.2,35.76,51.44,43.33,61.02
12800,Washington,134026,365,852,131412,42.52,32.13,43.27,38.74,40.18,37.68,54.24,37.06,52.99,40.14,57.3,37.44,51.05,47.43,62.27
12901,Lexington-Fayette,525970,47590,12337,451219,36.33,31.26,38.38,38.67,50.78,37.79,50.15,39.02,53.82,45.31,59.75,36,50.04,41.49,58.49
12902,Mount Sterling,40195,1050,421,38332,37.4,34.89,38.38,36.35,51.54,42.61,53.9,35.71,38.57,44.62,80.40000000000001,34.84,49.17,40.88,58.07
12903,Danville,86667,4456,1066,79930,37.88,31.69,39.06,39.9,48.23,35.52,49.75,32.95,35.08,35.06,47.46,34.64,48.63,41.49,58.49
13000,Elizabethtown,176597,13146,4186,153690,41.17,34.18,42.49,41.31,54.95,40.14,52.53,39.4,43.93,50.23,54.91,35.88,50.81,46.5,61.1
13101,Louisville,1100767,145335,18533,909111,37.74,31.6,40.6,40.99,52.45,37.68,50.31,39.02,48.24,45.56,54.4,36.99,51.79,45.05,60.9
13102,Madison,49985,673,773,47706,40.43,35.24,41.42,53.68,52.77,36.05,62.88,40.48,52.8,43.97,62.22,34.84,52.55,47.11,62.17
13103,Bardstown,66605,4521,714,60541,42.36,33.01,44.17,39.54,46.7,40.14,47.59,31.98,50.34,43.35,56.11,39.41,52.88,46.5,62.39
13200,Owensboro,177640,5777,1590,168021,42.28,32.49,43.65,36.75,50.34,40.14,60.85,28.57,49.47,40.85,62.51,35.13,48.95,47.34,64.19
13300,Findlay,246623,3644,9039,229867,42.36,31.2,43.75,35.81,49.36,38.14,50.75,36.63,48.04,47.85,58.99,38.97,52.81,49.02,64.99
13400,Lima,260393,13545,4308,238526,43.91,30.24,46.27,38.15,46.09,36.61,50.87,38.51,52.64,44.08,62.94,39.72,53.63,50.8,67.37000000000001
13501,Toledo,834343,81192,33346,698379,39.74,30.56,43.45,39.43,47.9,36.7,49.02,36.18,46.35,45.81,57.05,38.22,51.44,48.78,63.33
13502,Defiance,98981,1123,4518,92036,43.16,35.24,44.02,42.01,47.07,37.21,48.38,36.79,44.71,49.27,59.3,38.13,50.04,49.25,64.90000000000001
13600,South Bend,657906,70158,25258,543533,38.7,31.52,41.74,38.38,49.01,38.26,53.5,38.28,44.31,47.4,57.67,36.33,49.54,47.11,62.77
13700,Concord,372184,12371,24549,327175,42.2,30.76,44.37,37.93,43.65,37.29,51.44,39.89,47.33,52.17,61.69,34.97,46.75,51.09,62.95
13800,Wayne,129528,721,4609,122122,41.81,29.01,43.12,35.81,47.45,23.91,49.67,34.91,44.31,49.08,61.43,35.39,47.02,48.78,63.33
13900,Center,192308,7236,5484,175341,39.96,31.6,40.97,38.8,47.22,35.52,46.95,39.57,47.59,47.2,55.61,35.39,46.75,45.76,60.6
14000,Muncie,415487,24064,5887,378312,37.18,30.31,38.68,38.15,46.92,34.93,47.59,35.89,46.61,41.97,57.17,34.64,47.54,43.33,60.13
14100,Fort Wayne,557161,37629,17780,488086,40.11,30.66,43.12,38.61,46.92,37.14,50.15,37.76,45.56,47.35,57.67,36.8,49,47.51,63.33
14200,Indianapolis,1507346,212280,41224,1212840,36.61,31.35,39.74,41.13,51.76,36.7,49.48,38.77,49.97,45.31,57.3,36.27,50.04,44.08,61.25
14300,Columbus,163284,1713,3125,155028,39.11,30.91,40.02,34.66,54,33.89,54.47,40.06,55.85,42.38,57.17,35.13,48.86,44.7,60.04
14400,Terre Haute,261832,9085,2843,244811,40.43,33.29,41.57,38.8,51.2,38.84,53.78,34.36,54.03,42.61,59.75,35.29,48.25,45.89,62.27
14500,Lafayette,347966,12682,15228,308693,41.54,32.22,42.97,39.58,51.88,38.05,53.14,40.06,46.61,47.57,59.66,36.08,49.26,47.22,62.77
14600,Bloomington,280923,4073,3853,264704,41.06,32.96,41.74,38.44,56.86,34.93,51.44,36.18,44.91,47.28,59.92,34.64,48.69,45.76,61.25
14700,Evansville,388604,15873,4074,362675,42.28,31.6,44.28,37.22,52.27,39.18,55.18,36.38,45.56,43.04,59.53,36.17,51.05,49.13,65.69
14801,Olney,55642,111,362,54527,46.02,38.53,46.47,33.06,44.24,,,31.4,39.49,52.06,68.06999999999999,37.38,50.1,50.8,64.28
14802,Vincennes,54708,844,459,52720,43.79,33.38,44.52,33.75,38.88,45.07,66.40000000000001,36.88,48.15,40.85,72.2,36.99,52.88,49.13,65.29000000000001
14900,Gary,675971,122812,67362,471679,39.96,32.92,45.4,41.05,48.38,39.12,48.86,39.64,48.79,51.18,61.69,36.57,49.07,51.09,65.38
15000,Canton,700866,30433,5704,652081,41.68,30.84,43.45,38.34,48.5,35.74,53.63,36.72,49.97,45.2,61.33,36.4,51.14,48.4,64.69
15100,Lorain,423702,30742,23457,360164,39.11,30.24,41.9,37.4,43.65,35.24,47.27,37.41,47.59,43.97,58.04,37.21,51.05,47.22,63.07
15200,Cleveland,2661167,465447,61060,2056508,38.33,30.4,43.45,39.72,50.34,35.24,48.38,39.31,50.55,44.95,58.81,39.56,53.63,47.86,64.34
15300,Parkersburg,202967,1528,1014,197464,41.06,35.86,41.9,37.07,41.81,40.92,64.20999999999999,29.75,55.85,36.7,60.03,34.97,49.07,45.89,63.14
15400,Zanesville,188410,5501,963,178570,40.55,32.22,41.83,36.65,48.5,38.26,56.78,33.31,52.49,43.35,60.56,34.97,51.14,47.11,64.51000000000001
15500,Steubenville,132008,5154,801,124197,40.68,32.96,41.74,39.36,41.81,40.29,52.86,33.59,49.97,50.58,66.61,35.76,52.55,47.11,65.18000000000001
15600,Wheeling,195637,4433,917,187782,44.49,33.74,45.5,35.94,48.23,41.6,51.52,38.77,47.45,39.53,55.72,36.33,53.44,50.91,66.40000000000001
15700,Scioto,225682,7158,1318,212866,37.4,30.76,38.38,35.81,51.36,37.21,55.18,32.51,40.17,42.61,54.62,33.37,49.63,42.53,60.49
15800,Athens,142321,2589,1089,135128,38.9,34.18,39.74,34.66,45.48,39.36,46.41,39.51,49.97,48.4,61.33,33.9,48.25,42.53,60.35
15900,Columbus,1663807,206251,28919,1357519,37.74,31.69,40.43,41.13,53.07,36.37,50.87,40.75,52.64,43.7,56.11,37.38,52.75,44.54,62.27
16000,Mansfield,326186,16639,2806,301282,39.74,29.64,41.13,38.11,45.61,33.89,49.48,37.41,47.95,45.81,59.15,36.57,50.74,45.76,62.86
16100,State College,310658,7088,3426,291685,45.36,35.14,46.02,40.64,59.78,41.26,55.56,34.91,51.91,45.93,53.63,38.01,53.08,50.35,64.19
16200,Altoona,411749,7154,2809,397796,44.9,33.74,45.86,38.74,45.23,37.45,55.18,32.95,43.16,45.31,58.56,39.15,54.37,48.54,65.81999999999999
16300,Pittsburgh,2561364,192788,18222,2296335,44.25,31.98,47.2,40.57,52.58,36.44,51.15,38.13,52.49,46.25,62.01,40.36,55.14,51.09,66.08
16400,Youngstown,809682,69993,12075,715047,40.81,30.05,43.45,37.72,48.5,35.24,48.65,35.58,47.33,44.15,55.93,37.73,53.08,48.09,64.28
16500,Erie,659098,22262,13245,612780,42.2,30.05,43.75,35.94,48.08,35.52,46.41,36.52,49.13,43.61,61.53,37.55,52.64,48.09,63.33
16600,Roanoke,468038,42610,5474,406907,38.33,31.82,40.43,39.49,53.49,35.82,52.53,33.82,50.41,45.43,59.43,36.33,50.66,43.33,60.8
16701,Elkins,60271,448,321,58746,42.67,38.85,43.36,41.37,58.84,45.84,53.63,36.29,53.49,55.5,42.94,36.33,51.32,47.43,61.02
16702,Morgantown,259942,5889,2185,246038,43.34,34.81,44.17,41.27,52.06,40.14,54.93,37.22,50.23,48.26,62.84,35.66,51.44,48.9,64.99
16703,Buckhannon,40323,165,222,39480,43.34,34.72,44.02,,,,,33.82,39.49,54.18,75.55,34.72,49.54,49.4,66.51000000000001
16801,Beckley,174251,10687,1359,159421,40.43,34.53,41.74,40.68,47.22,39.36,47.27,44.27,52.64,45.06,72.2,34.37,47.76,44.87,61.25
16802,Summersville,58143,176,278,57064,42.52,40.38,43.27,43.58,44.24,,,28.57,50.41,36.7,31.96,31.88,48.44,48.4,65.09
16901,Charleston,347345,15311,1916,323735,39.21,31.92,40.68,40.45,52.97,34.93,48.86,31.98,47.76,38.59,57.79,33.63,48.75,44.22,60.22
16902,Spencer,23028,40,146,22617,43.16,,43.88,,,,,,,46.4,31.96,33.9,46.17,47.34,64.90000000000001
17000,Pikeville,204354,1600,1186,199653,39.51,34.72,40.68,39.08,44.75,36.61,37.22,29.75,48.04,40.85,52.67,32.86,46.17,42.53,57.2
17100,Huntington,344380,7278,2406,329634,38.42,32.13,39.4,36.35,46.7,37.45,51.44,32.95,45.35,43.19,59.53,33.37,48.34,42.93,59.08
17200,Harrisonburg,174641,4201,7319,159437,41.93,35.34,43.36,37.56,50.01,44.02,51.15,41.06,44.71,49.42,61.43,37.9,50.74,46.03,61.51
17300,Staunton,188559,12815,2244,166307,40.27,33.29,41.9,39.14,50.25,39.5,50.04,38.43,41.97,43.53,58.34,37.38,50.42,45.2,60.7
17400,Hagerstown,408535,19279,5904,375975,41.06,32.92,42.49,40.49,52.17,36.7,50.41,41.52,43.56,45.43,63.63,36.9,51.98,46.59,62.17
