cz,cz_name,cz_pop2000,cz_pop_black2000,cz_pop_hisp2000,cz_pop_white2000,kfr_pooled_p25,kfr_black_pooled_p25,kfr_white_pooled_p25,kir_black_female_p25,kir_black_female_p75,kir_black_male_p25,kir_black_male_p75,kir_hisp_female_p25,kir_hisp_female_p75,kir_hisp_male_p25,kir_hisp_male_p75,kir_white_female_p25,kir_white_female_p75,kir_white_male_p25,kir_white_male_p75
21002,Houghton,47063,845,350,43265,45.36,31.92,46.71,,,,,43.34,49.31,52.37,54.62,39.06,49.17,49.99,64.61
21003,Ironwood,32049,305,256,30578,45.57,46.93,46.71,,,,,39.57,60.31,50.76,80.40000000000001,41.21,55.14,50.66,64.51000000000001
21004,Rhinelander,67833,274,533,63129,44.74,31.35,47,33.06,40.18,,,36.97,42.34,49.84,56.91,41.74,53.44,49.4,64.51000000000001
21101,Rice Lake,92542,208,834,87294,46.02,33.15,47.9,32.63,46.7,36.94,56.78,40.96,49.44,44.26,50.32,41.51,54.12,51.23,65.29000000000001
21102,Amery,56993,110,449,54694,47.16,42.37,48.69,,,,,42.32,54.87,52.71,39.99,40.89,53.84,53.44,63.66
21201,Hutchinson,72898,121,2589,69352,52.01,31.16,53.5,,,23.91,61.54,40.18,47.11,52.71,69.47,45.49,56.49,56.39,66.77
21202,Redwood Falls,33969,32,1068,31964,54.29,56.56,55.71,,,,,39.73,54.03,51.85,70.27,47.97,57.79,56.9,69.51000000000001
21301,Mankato,149925,984,4869,141050,50.87,39.13,52.31,41.59,59.78,44.33,62.88,37.91,51.81,50.42,56.56,46.47,57.05,54.35,66.40000000000001
21302,Owatonna,109871,1505,4949,100869,48.54,37.31,50.4,43.21,61.9,42.9,67.70999999999999,38.2,44.56,45.31,60.34,44.72,55.83,54.51,65.94
21400,St. Cloud,254139,1927,3057,242227,50.37,34.43,52.31,40.1,58.84,40.54,62.36,42.45,48.15,50.58,62.01,45.02,55.83,54.92,66.40000000000001
21501,Minneapolis,2904389,154887,98412,2452559,44.9,34.89,48.94,43.58,55.28,40.87,54.93,42.66,52.8,49.08,59.92,44.48,56.26,53.3,65.69
21502,Pine City,41526,357,605,39192,47.16,37.6,48.51,50.66,47.9,23.91,44.9,34.54,48.55,39.53,57.44,44.48,54.01,52.34,65.38
21600,Brainerd,141542,298,956,133149,45.8,44.34,48.51,50.66,45.23,46.67,63.53,39.16,45.15,51.5,59.53,40.89,52.88,52.78,65.18000000000001
21701,Rochester,228867,3688,4439,211768,50.37,34.62,52.06,38.67,54,42.22,56.34,39.73,50.94,47.77,60.03,45.78,56.49,54.02,65.47
21702,Austin,71187,271,3695,65945,48.04,34.06,49.44,43.21,35.51,40.35,39.95,42.32,43.16,48.54,59.66,44.31,55.59,52.54,65.56
21801,Mason City,78179,407,1953,74663,49.45,33.38,50.68,38.51,50.11,42.11,80.13,40.28,52.99,47.57,58.34,44.01,56.26,51.81,65.47
21802,Decorah,72111,182,592,70674,54.29,36.8,55.11,43.86,66.15000000000001,34.72,35.11,38.03,51.91,44.95,50.32,47.56,58.4,54.19,68.04000000000001
21900,Marshalltown,113442,802,4803,104948,46.32,33.07,48.29,38.51,51.2,36.61,48.86,42.45,47.69,46.79,62.84,42.57,54.37,51.69,64.99
22001,Waterloo,222112,10406,3111,204336,47.79,32.68,50.4,40.38,50.01,39.57,52.02,40.96,50.55,44.26,56.99,44.31,55.14,52.34,66.51000000000001
22002,Iowa Falls,29516,120,1097,28081,51.13,,52.06,,,,,42.45,47.45,47.4,63.22,45.26,55.34,53.44,67.69
22100,Iowa City,203768,3537,10026,182536,46.6,37.31,48.51,44.15,57.63,45.07,56.34,42.13,55.5,52.37,61.19,42.25,54.98,51.54,63.66
22200,Cedar Rapids,252901,5288,3243,238147,46.32,34.29,48.04,39.54,50.01,40.78,54.33,37.81,48.45,41.97,61.19,43,54.12,51.54,64.99
22300,Ottumwa,142385,742,1765,137505,47.47,38.26,48.29,32.63,31.02,49.4,55.56,37.66,49.6,47.46,57.56,41.21,52.88,50.8,64.61
22400,Sheboygan,195533,1416,5132,181384,46.86,36.03,47.9,35.81,42.55,38.77,70.27,39.51,48.9,48.89,56.11,42.06,53.44,51.23,64.40000000000001
22500,Oshkosh,549651,3701,10649,519102,46.15,32.56,47.2,36.23,53.29,39.99,53.46,40.28,51.12,48.89,58.99,41.37,53.63,50.91,64.79000000000001
22601,Green Bay,310560,2686,9358,285000,45.8,33.29,48.16,38.8,49.36,39.57,62.36,38.28,44.56,46.66,59.75,41.74,54.98,51.81,65.18000000000001
22602,Shawano,65966,121,700,57821,42.67,34.81,46.71,,,48.1,24.02,35.58,44.91,36.7,60.56,41.05,53.32,49.86,63.14
22700,Wausau,370092,966,3697,352643,47.79,39.91,48.51,44.15,47.07,44.7,65.23,38.36,47.95,44.08,54.4,42.43,54.86,51.54,64.79000000000001
22800,Eau Claire,305307,1557,2896,291624,47.79,39.49,49.13,45.22,56.86,44.33,63.53,40.86,46.61,49.97,54.91,43.57,55.34,51.23,64.40000000000001
22900,La Crosse,220109,1308,2384,209740,46.6,35.14,47.67,41.13,49.86,36.52,51.03,39.09,53.82,47.2,59.75,42.06,54.55,50.35,63.91
23000,Monroe,116624,587,828,114014,49.94,41.19,50.94,40.57,46.09,41.02,47.27,33.31,47.22,52.06,53.63,44.72,55.83,52,64.61
23100,Madison,590755,17968,16815,530848,44.49,32.13,46.85,41.59,53.07,36.52,53.78,38.2,51.57,47.77,56.41,42.25,55.34,50.12,63.8
23200,Dubuque,163189,835,2190,158301,52.53,35.51,53.72,48.01,71.25,33.46,46.95,47.76,56.55,48.4,63.44,47.97,58.4,54.02,66.40000000000001
23301,Charleston,101161,1614,1013,97202,43.02,35.69,43.88,40.45,55.63,43.3,51.76,36.72,45.35,44.41,56.72,37.21,49.79,47.43,61.94
23302,Douglas,101195,2063,913,97269,45.36,38.85,45.86,23.07,52.06,36.81,39.95,36.88,49.6,53.59,54.91,38.38,52.81,48.54,65.94
23400,Bloomington,206909,11302,5102,184672,42.88,33.01,44.92,41.76,52.17,36.44,47.59,40.61,47.85,48.26,56.26,38.85,51.23,47.67,62.17
23500,Decatur,382083,36113,7468,319898,41.54,30.84,45.5,40.32,50.93,35.74,47.59,39.64,50.73,46.25,53.32,38.22,52.75,50.12,64.40000000000001
23600,Burlington,136489,2897,2127,128978,45.21,31.88,46.47,37.72,46.92,36.81,47.98,41.52,49,49.84,65.65000000000001,40.07,51.89,49.99,65.47
23700,Galesburg,145734,6263,3369,133379,43.02,35.69,44.17,42.97,48,40.63,58.68,37.6,49.91,43.47,62.7,38.54,52.36,48.09,63.8
23801,Davenport,382351,21218,20973,330276,42.77,31.88,45.04,40.27,49.23,37.45,47.98,41.38,49.7,52.17,56.11,38.97,52.81,50.12,65.09
23802,Clinton,70445,949,748,67722,47.47,30.66,49.13,38.88,35.51,38.05,51.88,36.72,51.91,46.79,60.87,43,54.86,52.96,66.08
23900,Peoria,529703,32417,13311,473078,40.81,30.31,43.54,38.8,50.78,34.93,52.19,37.76,49.91,49.84,63.22,37.8,50.57,47.86,64.69
24000,Kenosha,584474,34577,37836,498837,40.27,30.15,43.75,38.88,47.45,34.72,48.86,39.99,47.11,45.68,57.67,39.31,51.79,48.09,62.07
24100,Milwaukee,1660659,234526,99730,1266478,39.21,30.84,45.86,41.48,51.65,35.9,49.28,40.75,51.43,46.92,57.79,41.87,54.71,49.86,64.40000000000001
24200,Bourbonnais,135167,16164,6176,110409,41.06,31.35,46.47,42.01,50.61,36.44,51.62,38.36,49.7,47.85,63.05,38.9,50.34,51.23,65.69
24300,Chicago,8183799,1537601,1410754,4722761,39.51,31.2,49.13,41.59,52.17,36.81,49.02,43.34,52.99,50.23,60.72,44.48,55.34,52.54,65.94
24400,Rockford,622573,39786,40902,525163,40.68,29.01,44.28,38.51,45.48,33.89,49.18,39.89,48.24,48.26,58.66,38.97,51.14,48.65,62.5
24500,Rolla,111509,5560,3159,97479,40.93,34.62,41.9,40.27,52.02,41.85,52.53,35.58,50.73,49.97,50.32,36.33,49.26,44.54,60.22
24600,Farmington,137456,2017,970,132396,40.43,31.26,41.29,36.09,61.9,35.74,52.31,30.69,49.47,35.06,60.87,34.72,49.17,44.87,61.94
24701,St. Louis,2325609,454271,35260,1766477,37.88,31.11,44.02,41.37,51.65,36.7,50.31,39.31,50.73,45.81,59.75,39.22,52.88,47.22,63.07
24702,Mexico,37989,2094,283,35021,42.88,32.96,44.52,40.38,50.69,39.12,49.18,45.53,54.87,31.8,75.55,38.9,51.98,47.11,62.69
24801,Jacksonville,84748,3373,2057,78332,43.52,29.64,44.83,36.53,45.23,37.52,54.33,37.06,30.85,47.7,67.41,38.72,52.75,48.54,63.8
24802,Springfield,267992,20973,2942,238375,40.11,30.31,42.97,40.64,53.63,33.89,46.41,42.13,56.55,50.84,56.99,38.97,54.01,46.5,62.69
24900,Edwardsville,382997,21772,5003,350059,41.68,30.91,43.88,39.24,45.48,35.04,50.57,35.89,49.6,45.31,54.06,37.55,51.58,47.34,62.77
25000,Quincy,152421,5682,1320,143250,43.79,32.13,45.27,37.93,48.65,37.57,56.5,34.54,57.38,46.66,57.67,38.61,53.32,48.24,64.34
25101,Mountain Home,64068,74,597,62177,41.81,38.53,42.62,39.9,63.68,39.61,24.02,36.97,47.69,44.95,62.01,37.65,48.54,45.2,60.13
25102,West Plains,90551,208,923,86543,42.28,38.26,42.97,36.53,31.02,23.91,57.08,33.31,48.35,46.14,56.56,36.08,48.12,45.5,60.13
25103,Harrison,76174,79,3010,71482,42.43,44.34,43.36,44.57,36.97,38.62,35.11,36.04,35.08,47.35,31.96,37.44,48.01,45.05,59.45
25104,Heber Springs,51737,88,621,50034,42.2,35.86,43.12,29.11,24.05,46.67,64.20999999999999,39.89,38.57,41.41,70.27,35.66,47.9,45.2,59.57
25105,Batesville,64601,958,823,61458,41.17,30.66,42.24,34.66,54.46,34.72,49.28,31.98,42.34,44.95,67.41,36.65,48.12,45.38,60.49
25200,Henderson,151629,9886,1555,138316,40.93,33.64,42.49,37.4,43.08,39.9,50.75,35.89,37.69,41.41,56.56,33.63,48.34,47.22,62.07
25300,Union City,117387,9531,2016,104036,38.7,31.01,41.13,36.09,52.02,38.92,51.03,36.38,40.69,45.36,42.94,34.53,48.8,45.05,59.9
25401,Paducah,138654,8421,1256,126756,39.96,32.38,41.83,39.49,56.08,37.79,57.51,32.95,36.42,38.59,45.49,34.37,48.34,46.36,62.77
25402,Murray,34177,1200,473,31688,40.55,33.01,41.74,33.75,47.36,45.4,52.02,29.75,37.69,46.25,48.52,34.37,50.2,43.62,58.07
25500,Centralia,141040,6181,1642,131160,43.34,30.76,45.04,39.31,49.01,36.25,49.37,35.38,52.8,43.19,61.43,39.31,53.08,48.54,64.51000000000001
25601,Carbondale,265022,21787,4476,232966,41.54,31.46,43.65,39.77,52.17,36.25,49.95,37.91,47.59,47.7,55.24,36.8,50.88,46.95,63.22
25602,Harrisburg,37978,1227,365,35897,43.34,33.22,44.52,34.66,41.16,33.46,46.73,31.4,51.81,35.06,45.49,34.72,48.69,49.86,64.28
25701,Cape Girardeau,184036,13876,1683,165389,39.36,29.9,41.83,38.11,47.22,35.9,49.02,39.64,44.13,48.4,53.02,35.66,50.49,45.5,61.94
25702,Poplar Bluff,73576,2134,681,69038,39.36,32.29,40.6,33.75,51.59,39.5,46.41,37.29,51.57,41.97,61.33,34.18,47.02,43.86,57.2
25800,Blytheville,105181,25013,2308,76244,35.83,30.05,39.74,36.75,49.7,38.26,52.31,32.51,45.15,48.89,51.11,33.9,48.44,45.05,61.81
25900,Jonesboro,198671,8489,2949,183847,39.74,31.06,41.13,37.4,52.27,35.82,44.9,35.71,45.74,49.65,59.3,35.76,49.63,44.08,58.64
26001,Roseau,20860,32,100,19998,51.13,,52.31,,,,,,,60.53,80.40000000000001,44.01,53.2,56.01,67.27
26002,Duluth,286544,2229,2241,270105,45.21,39.91,46.85,36.23,45.83,45.84,49.18,38.43,48.9,46.5,61.33,41.51,54.55,52,65.29000000000001
26003,West Cook UT,5168,15,39,4609,46.32,,49.84,,,,,,,,,44.48,51.98,48.65,61.1
26004,International Falls,14355,27,81,13744,47.16,,48.94,,,,,,,,,41.63,52.64,54.19,65.18000000000001
26101,Moberly,56535,2487,498,52632,43.34,30.56,44.83,38.88,47.07,35.24,48.65,43.08,53.14,47.46,62.84,38.13,50.14,47.51,61.51
26102,Marshall,48599,1776,1217,44753,43.02,33.57,44.37,38.2,49.56,43.55,57.36,45.53,39.1,45.93,72.2,38.13,53.2,47.51,64.04000000000001
26103,Brookfield,22192,346,151,21473,45.8,29.01,47.34,33.75,42.55,38.54,24.02,40.28,42.75,,,38.85,53.32,50.53,66.26000000000001
26104,Trenton,14189,48,176,13792,44.49,,45.27,,,,,44.99,55.85,35.06,66.04000000000001,38.01,53.63,50.91,63.22
26105,Polk,12442,12,666,11663,46.02,,48.04,,,,,43.08,73.87000000000001,47.57,49.36,41.63,55.14,49.4,62.5
26106,Centerville,29873,74,265,29234,47.79,36.93,48.51,,,,,22.2,48.15,51.18,65.65000000000001,44.31,53.84,49.65,66.77
26107,Kirksville,38491,307,410,36991,45.36,31.69,45.72,34.18,63.68,42.9,62.36,53.67,55.85,71.49,49.36,39.56,51.23,47.11,58.64
26201,Bismarck,114739,211,758,108724,54.29,42.37,57.1,53.68,55.63,47.39,74.25,44.71,50.41,50.58,61.03,49.33,57.79,61.54,71.3
26202,East Grant UT,2841,0,17,2746,62.37,,64.11,,,,,,,,,52.68,52.36,67.09,67.79000000000001
26203,Linton,10029,4,94,9861,62.37,,64.11,,,,,,,,,52.68,52.46,61.54,77.16
26204,Steele,2753,5,16,2723,58.01,,60.22,,,,,,,,,50.45,63.84,63.51,77.16
26301,Devils Lake,22745,32,124,18306,44.74,16.45,55.97,,,,,34.71,65.24,,,49.33,59.5,58.82,71.3
26302,Carrington,6516,7,24,6366,58.01,,58.22,,,,,,,,,50.45,59.5,57.95,77.16
26303,Turtle Mountain UT,16550,12,115,6213,40.27,,57.1,,,,,33.59,30.85,50.98,60.15,50.45,59.5,60.1,66.93000000000001
26304,Minot,74541,1288,1203,69152,54.29,37.9,56.46,35.94,52.58,45.4,54.24,37.41,46.61,57.93,57.05,45.02,56.73,61.54,71.3
26305,Rugby,11487,13,49,11320,55.06,,55.97,,,,,,,,,46.1,56.01,59.4,73.87000000000001
26401,Ekalaka,2713,5,30,2646,62.37,,64.11,,,,,,,,,52.68,58.96,61.54,62.27
26402,Baker,2837,4,11,2790,58.01,,60.22,,,,,,,,,45.02,57.79,63.51,77.16
26403,Bowman,4009,1,23,3959,62.37,,64.11,,,,,,,,,52.68,63.84,67.09,77.16
26404,Lemmon,8671,21,38,8476,62.37,,64.11,,,,,,,,,48.69,58.96,63.51,66.93000000000001
26405,Scobey,2017,0,32,1931,58.01,,60.22,,,,,,,,,50.45,48.69,63.51,73.87000000000001
26406,Wolf Point,12597,11,150,6234,40.55,,55.71,,,,,33.82,73.87000000000001,46.92,60.15,45.26,53.63,59.4,69.3
26407,Plentywood,4105,4,44,3958,56.02,,58.22,,,,,,,,,47.97,56.49,61.54,73.87000000000001
26408,Glasgow,12276,15,113,10826,47.47,,52.31,,,,,41.74,44.31,,,42.76,54.23,56.9,70.65000000000001
26409,Glendive,12051,25,105,11700,58.01,,60.22,,,,,39.57,45.15,59.08,91.36,46.83,53.63,61.54,73.87000000000001
26410,Dickinson,27124,48,266,25897,62.37,,64.11,,,,,31.4,56.55,37.63,63.22,50.45,63.84,67.09,73.87000000000001
26411,Sidney,22035,19,354,17998,53.27,,60.22,,,,,36.97,54.87,53.59,63.22,47.97,58.4,67.09,73.87000000000001
26412,Williston,24286,21,207,22716,62.37,,64.11,,,,,22.2,46.75,43.61,80.40000000000001,47.24,56.26,67.09,77.16
26501,Brookings,40630,107,337,38341,53.27,42.37,55.11,49.3,50.34,,,53.67,39.1,37.63,58.99,47.56,53.84,56.56,68.04000000000001
26502,Madison,14160,38,107,13814,55.06,,56.46,,,,,,,,,47.24,58.09,57.25,67.12000000000001
26503,Sioux Falls,200630,2438,3557,187055,48.54,37.9,50.68,39.31,54.77,44.02,53.14,37.7,53.36,48.54,55.61,45.02,56.49,53.16,65.09
26504,Watertown,40078,46,363,38862,52.92,46.93,54.59,,,,,42.13,65.24,52.37,64.53,47.24,55.83,55.45,66.93000000000001
26601,Milbank,17801,12,113,17394,55.06,,56.46,,,,,,,,,49.33,56.73,57.95,71.3
26602,Sisseton,20859,22,122,16756,46.32,,55.11,,,,,30.69,47.85,37.63,39.99,49.33,57.79,56.01,68.69
26603,East Corson UT,8225,5,154,2128,34.32,,60.22,,,,,,,,,50.45,55.59,60.1,60.6
26604,Mobridge,7756,2,40,6919,53.7,,58.22,,,,,,,,,46.83,57.42,61.54,69.51000000000001
26605,Aberdeen,52825,118,299,50786,54.29,16.45,55.11,,,,,35.21,36.42,53.33,52.67,47.56,56.01,57.95,67.56
26701,Bemidji,101639,248,859,85326,45.05,45.29,50.68,47.09,52.45,36.94,70.27,40.86,41.97,44.41,69.47,43.25,54.86,53.84,67.12000000000001
26702,Grafton,31090,50,1062,29356,55.06,,56.46,,,,,39.99,50.09,48.68,56.26,46.83,59.5,60.1,68.99
26703,Thief River Falls,28038,44,480,27026,53.7,,55.11,,,,,34.54,60.31,55.5,61.85,48.69,58.4,57.45,68.69
26704,Grand Forks,108213,967,3050,100185,50.87,45.29,52.93,49.3,44.75,51.32,56.14,40.18,53.14,51.5,61.03,45.78,56.26,56.56,67.79000000000001
26801,Fargo,206945,1319,3850,194799,50.37,40.81,52.61,43.58,52.45,50.29,58.68,36.52,49,47.57,58.34,46.47,57.05,55.59,68.04000000000001
26802,Lisbon,16013,19,158,15611,56.02,,56.46,,,,,36.63,42.75,47.28,65.65000000000001,46.47,58.96,57.95,72.43000000000001
26803,Jamestown,38384,108,294,37366,54.29,48.86,55.11,,,,,35.58,49.13,71.49,58.73,47.24,59.5,59.4,69.3
26804,Cooperstown,2754,0,11,2729,58.01,,58.22,,,,,,,,,48.69,54.98,57.25,65.09
26901,Fergus Falls,117558,346,1330,114228,52.01,38.53,53.22,38.61,49.86,40.5,74.25,38.85,41.36,49.65,49.36,45.49,56.01,56.01,67.56
26902,Little Falls,69851,157,794,68037,51.47,50.54,52.61,53.68,24.05,41.42,35.11,34.54,39.72,60.53,62.01,44.31,56.49,54.35,66.26000000000001
27001,O'Neill,14875,3,89,14664,56.02,,58.22,,,,,53.67,33.48,62.43,59.3,48.69,55.59,57.66,67.47
27002,Ord,9975,20,129,9751,56.02,,57.1,,,,,,,,,49.33,56.26,56.24,70.65000000000001
27003,Ainsworth,6264,1,76,6135,55.06,,55.71,,,,,,,,,46.83,58.09,56.56,72.43000000000001
27004,Winner,11222,4,96,10037,53.7,,56.46,,,,,,,,,49.33,56.01,55.45,68.69
27005,Yankton,47901,310,563,45349,55.06,48.86,57.1,,,,,46.25,53.49,36.7,64.87000000000001,48.69,57.79,59.4,67.37000000000001
27006,Mitchell,27613,58,224,26639,52.92,45.29,54.59,,,,,44.99,73.87000000000001,48.04,70.27,45.49,57.42,55.45,67.27
27007,Huron,19318,118,162,18683,50.87,,51.79,,,,,35.06,43.16,40.14,69.47,45.26,58.09,54.02,64.69
27008,Parkston,20883,19,232,17805,50.87,,60.22,,,,,36.38,55.5,35.06,53.02,49.33,54.86,60.1,67.27
27009,Chamberlain,11291,19,62,7651,41.54,,55.97,,,,,,,,,50.45,58.96,55.45,65.69
27010,Miller,5412,3,19,5228,56.02,,58.22,,,,,,,,,52.68,63.84,57.25,72.43000000000001
27011,Pierre,20809,35,225,18655,47.47,,50.94,,,,,36.72,40.17,,,45.49,58.96,54.7,67.69
27012,Gettysburg,2693,0,5,2640,56.02,,58.22,,,,,,,,,52.68,58.09,59.4,67.79000000000001
27101,Willmar,85394,535,4082,79024,51.13,32.62,53.5,30.18,50.01,37.95,41.67,40.48,46.89,44.15,53.63,46.1,56.73,55.59,66.77
27102,Marshall,51470,436,1257,48601,54.29,36.8,55.71,37.93,83.54000000000001,42.9,37.22,37.06,39.1,47.57,61.43,47.24,57.42,56.24,69.3
27201,Sioux Center,58454,114,1117,56634,58.01,48.86,58.22,43.86,61.9,,,42.84,50.23,49.84,56.56,46.83,54.71,59.4,69.87000000000001
27202,Worthington,60435,276,3062,55322,52.53,42.37,54.59,33.06,36.97,46.67,44.9,41.19,48.55,53.05,58.34,47.56,57.79,55.75,67.69
27301,Spencer,61106,78,521,59889,53.7,50.54,54.13,49.3,71.25,,,41.38,41.36,48.54,61.69,47.97,58.96,54.92,67.69
27302,Fairmont,49010,118,1462,46926,50.87,56.56,52.06,53.68,41.81,,,39.82,50.41,53.05,57.67,46.83,57.05,54.7,66.08
27401,Storm Lake,52812,139,2832,48544,53.27,43.41,55.71,42.97,63.68,47.39,80.13,43.34,60.31,52.06,60.87,46.83,58.09,56.56,68.04000000000001
27402,Fort Dodge,101165,1500,2161,95974,48.54,31.11,50.11,37.72,63.68,39.57,45.92,36.79,51.43,44.26,55.24,43.57,56.26,52.96,66.93000000000001
27501,Des Moines,595842,19813,20869,532035,45.21,33.74,47.34,41.27,51.02,39.18,56.34,42.66,52.99,47.28,56.41,42.57,54.86,50.66,64.90000000000001
27502,Creston,35600,123,655,34394,48.04,35.86,48.94,,,,,40.48,48.15,47.28,51.11,44.01,55.83,49.51,65.69
27503,Atlantic,34687,53,222,34138,52.92,,53.72,,,,,47.76,53.36,50.23,54.91,47.97,57.05,54.92,67.47
27504,Carroll,48729,165,1769,46362,54.29,41.19,55.97,,,44.33,61.54,44.71,48.65,50.76,75.55,48.69,59.5,56.24,69.87000000000001
27601,Rapid City,158442,1161,3752,140647,45.8,34.89,49.44,45.22,43.65,40.92,56.34,36.88,49.51,46.34,65.36,41.51,52.31,53.44,64.61
27602,Eagle Butte,8491,2,76,2102,35.4,,55.71,,,,,22.2,38.57,,,46.47,51.98,55.75,67.37000000000001
27603,Southwest Jackson UT,5126,1,25,3570,46.15,,55.71,,,,,,,,,45.26,52.88,58.43,67.12000000000001
27604,Murdo,1193,0,4,1141,51.47,,54.13,,,,,,,,,48.69,46.17,52.54,68.69
27605,Mission,11133,8,173,2053,28.98,,46.27,,,,,36.88,65.24,31.8,54.4,40.74,50.66,46.5,66.63
27701,Scottsbluff,65903,201,8131,55505,48.54,30.31,52.06,,,31.47,39.95,39.31,49,49.42,59.15,42.76,53.84,56.01,66.26000000000001
27702,Cheyenne,95526,2035,9471,81002,46.15,37.6,48.29,41.37,50.61,44.33,59.44,41.12,51.12,51.18,62.22,41.05,51.89,52.96,64.19
27703,Torrington,21345,28,1572,19353,51.47,36.36,53.22,,,,,43.08,57.38,53.86,68.64,41.37,53.08,58.43,69.51000000000001
27704,Gordon,22238,23,340,7433,33.99,26.49,53.5,,,,,38.93,53.82,39.53,39.99,46.1,58.09,56.24,63.66
27801,Virginia Beach,56990,355,3299,52377,50.37,30.66,53.72,29.11,33.9,38.84,45.48,39.51,53.49,49.65,53.63,44.72,55.34,55.22,67.27
27802,Columbus,61167,107,5051,55434,53.27,43.41,55.97,40.27,49.36,49.4,56.5,39.64,49.31,50.84,51.95,46.83,57.42,57.45,68.04000000000001
27901,Hastings,42251,198,1695,39432,50.37,31.11,51.79,35.81,83.54000000000001,23.91,70.27,36.79,55.85,46.92,65.65000000000001,45.78,53.84,53.16,67.12000000000001
27902,York,26871,151,376,26038,53.27,,54.59,,,,,32.51,37.69,47.28,75.55,46.1,57.05,58.82,68.37000000000001
27903,Grand Island,77708,212,7838,68441,48.04,39.13,50.4,39.31,63.68,45.84,60.16,40.38,47.22,50.1,57.93,42.57,54.23,54.02,66.77
28001,Sioux City,187773,2332,15099,162698,46.6,33.22,50.4,39.72,50.25,40.2,41.67,39.82,48.79,50.23,64.87000000000001,43.25,54.71,53.44,65.56
28002,West Point,25165,28,831,20352,46.6,48.86,56.46,,,,,35.21,40.69,43.35,55.24,47.56,58.09,58.43,67.37000000000001
28101,Lincoln,311956,7055,9832,281133,46.15,33.89,48.29,39.81,47.36,39.23,51.15,36.63,48.45,48.54,55.61,41.87,54.01,51.09,64.40000000000001
28102,Nebraska City,40078,86,703,38451,52.01,56.56,52.61,,,42.22,74.25,33.31,37.69,50.42,66.61,44.01,54.86,55.22,65.94
28201,Red Oak,48197,293,883,46447,49.45,40.38,50.68,50.66,45.83,39,67.70999999999999,44.99,47.59,50.84,61.33,44.01,56.01,52.96,65.56
28202,Omaha,803201,59035,41653,676940,43.02,31.88,47.34,41.21,52.27,37.29,50.67,40.38,51.12,47.46,61.03,42.25,54.71,50.53,64.69
28301,Sterling,39751,432,4544,34217,49.94,56.56,52.61,,,,,40.86,54.87,47.11,64.87000000000001,44.31,54.55,55.75,67.37000000000001
28302,Ogallala,16920,18,820,15866,50.87,,52.61,,,,,34.71,60.31,47.11,66.04000000000001,44.01,53.2,54.92,66.63
28303,Oshkosh,2292,2,33,2230,52.53,,52.93,,,,,,,,,46.1,58.4,52.78,71.3
28304,Valentine,8122,4,81,7694,52.53,,54.13,,,,,,,,,46.1,58.4,54.92,67.27
28305,Broken Bow,13105,8,115,12849,56.02,,57.1,,,,,44.99,25.19,71.49,48.52,47.56,56.01,58.43,68.69
28306,North Platte,35939,180,1895,33346,48.04,39.13,49.59,,,46.67,59.44,38.13,45.88,52.17,55.24,41.51,51.58,55.75,64.69
28401,Colorado Springs,587132,34953,63983,453628,41.93,34.81,45.04,41.31,51.65,39.5,52.66,37.52,47.76,46.25,57.44,38.54,48.12,49.25,61.25
28402,Limon,6087,298,519,5126,45.57,,48.04,,,,,45.53,49.97,41.97,45.49,42.57,52.36,51.54,65.81999999999999
28501,Springfield,4517,1,317,4084,52.01,,53.22,,,,,44.71,53.63,57.93,47.46,41.51,48.34,57.25,67.69
28502,Pueblo,187782,3131,69176,110530,40.11,36.93,44.92,38.11,56.08,45.07,52.66,37.66,48.79,44.81,57.05,38.54,51.44,48.78,62.95
28503,Trinidad,23069,262,9067,12977,43.79,,49.44,,,,,38.2,45.56,45.68,63.22,41.74,48.86,54.51,64.34
28504,Burlington,11864,153,1327,10226,52.01,,54.13,,,,,33.59,36.42,51.85,91.36,44.48,54.23,56.9,65.38
28601,Oberlin,6438,26,58,6291,56.02,,57.1,,,,,,,62.43,64.53,45.78,55.14,58.43,69.87000000000001
28602,Norton,5953,240,141,5485,52.53,,53.5,,,,,46.25,46.89,,,47.24,54.37,57.45,64.90000000000001
28603,Phillipsburg,10537,20,73,10331,52.92,,53.72,,,,,,,,,44.31,53.2,56.24,68.37000000000001
28604,Colby,17107,60,280,16555,53.27,,54.59,,,,,35.58,33.48,46.66,91.36,44.72,53.2,57.45,67.79000000000001
28605,Goodland,8509,35,655,7708,51.13,,53.22,,,,,43.34,44.91,53.33,70.27,38.72,52.46,55.59,64.90000000000001
28606,Wano,5457,2,156,5223,52.92,,53.5,,,,,39.16,49.51,,,45.02,55.59,55.45,66.77
28607,McCook,19695,28,491,18981,52.53,,53.5,,,,,45.53,37.69,57.93,75.55,42.43,52.46,56.56,65.81999999999999
28608,Kearney,56033,240,2188,52752,51.47,56.56,52.93,59.97,83.54000000000001,60.29,60.85,38.93,48.79,52.06,56.99,45.78,53.2,53.64,67.27
28609,Lexington,48464,78,6545,41227,49.45,32.62,52.93,39.14,71.25,,,39.57,52.49,51.18,62.84,45.26,54.37,55.22,67.69
28701,Salida,16242,257,1393,14174,46.86,,48.16,,,,,43.69,50.73,43.53,61.33,42.25,53.63,53.3,63.33
28702,Glenwood Springs,131682,456,23084,105040,45.05,35.01,50.4,23.07,48.23,50.29,62.36,40.48,49.7,48.8,57.44,43.25,52.64,55.75,62.86
