par_pctile,count_pooled,count_aian_pooled,count_asian_pooled,count_black_pooled,count_hisp_pooled,count_white_pooled,density_aian_pooled,density_asian_pooled,density_black_pooled,density_hisp_pooled,density_white_pooled,kfr_aian_pooled,kfr_asian_pooled,kfr_black_female,kfr_black_male,kfr_black_pooled,kfr_hisp_pooled,kfr_nativemom_aian_pooled,kfr_nativemom_asian_pooled,kfr_nativemom_black_pooled,kfr_nativemom_hisp_pooled,kfr_nativemom_white_pooled,kfr_pooled,kfr_white_female,kfr_white_male,kfr_white_pooled,kid_college_black_female,kid_college_black_male,kid_college_white_female,kid_college_white_male,kid_hours_black_female,kid_hours_black_male,kid_hours_white_female,kid_hours_white_male,kid_jail_black_female,kid_jail_black_male,kid_jail_white_female,kid_jail_white_male,kid_married_black_pooled,kid_married_white_pooled,kid_no_hs_black_female,kid_no_hs_black_male,kid_no_hs_white_female,kid_no_hs_white_male,kid_pos_hours_black_female,kid_pos_hours_black_male,kid_pos_hours_white_female,kid_pos_hours_white_male,kid_wage_rank_black_female,kid_wage_rank_black_male,kid_wage_rank_white_female,kid_wage_rank_white_male,kir_black_female,kir_black_male,kir_black_pooled,kir_white_female,kir_white_male,kir_white_pooled,kir_1par_black_male,kir_1par_white_male,kir_2par_black_male,kir_2par_white_male,kir_par_nohome_black_male,kir_par_nohome_white_male,spouse_rank_black_female,spouse_rank_black_male,spouse_rank_white_female,spouse_rank_white_male
46,213100,1800,5900,25500,27000,138000,1.088,.8619,.9266,1.031,1.023,39.26,59.4,40,35.79,37.95,47.77,40.5,54.36,38.11,46.23,52.62,49.31,52.45,50.63,51.53,64.3,48.94,66.59,52.21,29.02,26.38,26.87,37.22,.3912,7.316,.2804,1.733,18.82,52.56,13.59,19.22,10.55,15.44,82.51000000000001,72.26000000000001,79.18000000000001,90.98,42.97,44.43,44.66,49.7,46.14,44.29,45.24,44.33,54.98,49.77,42.93,54.47,46.23,55.16,44.4,53.43,39.68,32.79,58.77,47.84
47,213100,1800,5900,25000,27000,140000,1.088,.8619,.9083,1.031,1.037,40.95,59.47,40.21,35.73,37.97,47.63,40.65,53.9,38.84,47.25,52.65,49.56,52.77,50.83,51.77,67.15000000000001,49.76,66.88,53.52,29.04,28.3,27.46,36.96,.3946,7.51,.2556,1.656,18.85,52.77,11.76,20.47,9.739000000000001,14.58,82.91,77.18000000000001,80.47,90.8,44.31,43.19,43.54,49.27,46.73,44.34,45.54,44.36,55.06,49.82,43.06,54.47,46.04,55.27,44.38,53.02,39.27,32.77,59.11,48.09
48,213100,1700,6100,24000,26000,141500,1.028,.8912,.872,.9925000000000001,1.049,40.86,58.86,40.15,36.27,38.22,48.08,42.43,52.93,38.38,47.2,52.77,49.76,52.7,51.03,51.84,64.73,48.61,66.54000000000001,53.36,28.17,27.3,27.53,36.97,.3118,7.286,.2361,1.664,19.32,52.62,12,20.87,10,14.71,81.43000000000001,75.95,80.59999999999999,91.05,45.58,46,44.02,48.97,46.31,44.65,45.47,44.42,55.28,49.99,43.47,54.61,46.22,55.49,44.99,54.06,39.72,33.38,59,47.96
49,213100,1700,6000,23500,25000,143000,1.028,.8766000000000001,.8538,.9544,1.059,39.8,59.67,40.62,36.32,38.53,48.29,40.27,54.36,38.53,47.09,53.45,50.25,53.39,51.36,52.36,64.25,47.65,67.56,54.07,29.77,25.93,27.21,37.35,.4027,7.49,.231,1.611,19.19,53.38,13.9,20.17,9.978999999999999,14.55,82.33,74.11,79.97,91.68000000000001,44.37,44.31,44.87,50.25,46.95,44.78,45.88,44.65,55.63,50.29,43.61,54.77,46.27,55.87,43.11,53.86,39.88,33.15,59.61,48.29
50,213100,1700,5800,22500,25000,144500,1.028,.8472,.8176,.9544,1.07,40.09,60.47,40.95,36.47,38.76,48.61,41.11,58.63,39.26,48,53.81,50.62,53.74,51.53,52.61,67.77,48.52,67.18000000000001,54.75,29.04,26.6,27.64,37.29,.5449000000000001,7.232,.2375,1.606,19.44,53.36,10.82,19.29,9.710000000000001,14.42,83.33,73.86,80.33,91.51000000000001,45.01,44.9,44.25,50.74,47.35,44.95,46.18,45,55.81,50.53,43.88,54.81,46.22,56.1,44.15,54.97,39.62,33.28,59.84,48.38
51,213100,1600,5900,22000,24500,146100,.9984,.8619,.7993,.9352,1.082,40.12,59.76,41.2,36.86,39.03,48.68,40.21,54.56,39.15,47.11,53.68,50.76,53.77,51.74,52.72,66.3,52.21,68.20999999999999,55.4,28.43,27.68,27.44,37.32,.3291,6.918,.2082,1.62,19.9,53.59,10.17,19.01,9.728999999999999,14.13,82.91,76.76000000000001,80.73,91.15000000000001,42.45,44.63,44.93,49.88,47.14,45.34,46.25,45,56.01,50.65,43.77,55.04,47.2,56.27,43.97,53.79,40.29,33.31,59.77,48.45
52,213100,1600,5800,21500,23500,147600,.9681,.8472,.7813,.8972,1.094,40.22,59.53,41.3,36.96,39.18,48.58,41.21,54.98,39.88,47.97,54.15,51.12,54.22,52.15,53.15,68.81,50.94,68.77,55.22,28.82,28.23,27.93,37.27,.4581,6.546,.2325,1.486,19.64,54,11.94,19.5,9.6,13.28,82.43000000000001,78.36,81.19,90.56999999999999,43.84,43.15,45.22,50.86,47.81,45.55,46.7,45.36,56.34,51.02,44.28,55.18,46.96,56.63,43.77,54.1,39.84,33.43,60.13,48.73
53,213100,1500,5800,21000,23000,149100,.9077,.8472,.7631,.878,1.105,40,59.68,41.31,37.27,39.29,49.32,40.8,55.11,40.06,48.61,54.38,51.44,54.31,52.48,53.38,71.08,51.16,68.66,55.52,28.77,27.43,27.53,37.61,.2894,6.344,.1868,1.421,20.26,54.27,10.37,19.82,9.43,13.47,84.43000000000001,76.13,80.72,92.09999999999999,43.29,43.65,44.88,50.4,47.32,45.7,46.52,45.43,56.69,51.16,44.22,55.33,47.26,57.02,44.1,55.29,40.38,33.93,60.09,48.99
54,213100,1500,5900,19900,22500,150500,.9077,.8619,.7231,.8589,1.116,41.39,59.88,41.89,37.41,39.67,49.15,43.22,55.15,39.68,48.61,54.69,51.84,54.7,52.83,53.74,67.25,53.1,69.72,56.43,29.14,30.22,28.01,37.82,.2653,6.611,.188,1.376,20.92,54.45,11.4,20.31,8.939,13.5,82.97,80.37000000000001,81.48,92.05,47.11,44.47,44.54,51.15,47.75,45.75,46.76,45.82,56.99,51.53,44.56,55.78,46.91,57.27,44.19,54.75,40.63,33.93,60.34,49.22
55,213100,1500,5700,19700,22000,152000,.9077,.8327,.7157,.8399,1.126,42.25,60.02,41.86,37.31,39.59,49.65,42.11,56.88,40.7,49,55.19,52.21,55.13,53.13,54.1,67.74,52.45,70.86,57,28.34,27.78,27.9,37.29,.3689,6.663,.2136,1.361,20.87,54.9,12.25,19.04,8.279,12.92,81.63,75.65000000000001,81.40000000000001,91.83,44.72,42.39,45.27,51.06,47.82,45.88,46.86,46,57.14,51.71,44.51,55.63,47.15,57.46,46.52,55.34,40.4,33.59,60.72,49.44
56,213100,1500,5900,19200,22000,152600,.9379,.8619,.6976,.8399,1.131,41.06,60.15,42.24,38.08,40.15,49.7,42.04,55.43,40.03,49.62,55.37,52.51,55.36,53.47,54.38,69.86,50.44,70.97,57.34,28.67,28.64,28.21,37.97,.4142,6.355,.2066,1.2,21.28,55.16,11.77,18.52,8.6,12.82,81.18000000000001,77.76000000000001,81.63,92.22,44.28,43.27,45.37,51.84,48.06,46.55,47.31,46.14,57.55,52.02,44.54,56.13,48.29,57.84,44.19,56.04,40.8,34.02,60.93,49.59
