par_pctile,count_pooled,count_aian_pooled,count_asian_pooled,count_black_pooled,count_hisp_pooled,count_white_pooled,density_aian_pooled,density_asian_pooled,density_black_pooled,density_hisp_pooled,density_white_pooled,kfr_aian_pooled,kfr_asian_pooled,kfr_black_female,kfr_black_male,kfr_black_pooled,kfr_hisp_pooled,kfr_nativemom_aian_pooled,kfr_nativemom_asian_pooled,kfr_nativemom_black_pooled,kfr_nativemom_hisp_pooled,kfr_nativemom_white_pooled,kfr_pooled,kfr_white_female,kfr_white_male,kfr_white_pooled,kid_college_black_female,kid_college_black_male,kid_college_white_female,kid_college_white_male,kid_hours_black_female,kid_hours_black_male,kid_hours_white_female,kid_hours_white_male,kid_jail_black_female,kid_jail_black_male,kid_jail_white_female,kid_jail_white_male,kid_married_black_pooled,kid_married_white_pooled,kid_no_hs_black_female,kid_no_hs_black_male,kid_no_hs_white_female,kid_no_hs_white_male,kid_pos_hours_black_female,kid_pos_hours_black_male,kid_pos_hours_white_female,kid_pos_hours_white_male,kid_wage_rank_black_female,kid_wage_rank_black_male,kid_wage_rank_white_female,kid_wage_rank_white_male,kir_black_female,kir_black_male,kir_black_pooled,kir_white_female,kir_white_male,kir_white_pooled,kir_1par_black_male,kir_1par_white_male,kir_2par_black_male,kir_2par_white_male,kir_par_nohome_black_male,kir_par_nohome_white_male,spouse_rank_black_female,spouse_rank_black_male,spouse_rank_white_female,spouse_rank_white_male
75,213100,1100,5900,12800,14600,169000,.6657,.8619,.465,.5573,1.253,46.32,64,46.52,42.43,44.47,54.29,45.93,60.47,43.79,52.84,60.9,58.72,61.45,59.02,60.2,75.83,60.34,80.38,70.48,31.25,29.29,29.64,39.22,.2343,4.06,.1001,.8152,25.2,59.41,8.439,15.05,6.029,8.74,87.26000000000001,80.06,84.15000000000001,94.09999999999999,49.91,46.27,51.68,56.81,51.97,50.62,51.3,50.93,62.64,56.93,47.82,59.86,51.39,62.89,47.86,59.79,42.92,36.7,64.51000000000001,52.65
76,213100,1000,6000,12500,14000,169600,.6051,.8766000000000001,.4541,.5345,1.256,46.72,63.74,46.87,42.97,44.93,54.22,46.06,58.38,45.07,53.93,61.03,58.99,61.59,59.35,60.44,76.97,60.67,81.37000000000001,70.97,31.54,31.07,29.88,38.86,,3.989,.1184,.7732,26.69,59.38,6.799,15.31,5.97,8.960000000000001,85.86,83.33,85,93.90000000000001,51.12,50.09,51.56,56.87,51.93,50.94,51.44,51.27,62.84,57.2,47.5,59.9,51.84,63.07,48.27,59.5,43.65,37.27,64.52,52.8
77,213100,1000,5900,12300,13900,170500,.6051,.8619,.4468,.5307,1.264,50.32,65.04000000000001,47.06,42.8,44.92,54.93,48.5,61.94,44.96,54.93,61.63,59.47,62.17,59.65,60.88,76.37000000000001,60.36,81.69,71.29000000000001,30.48,28.93,29.78,39.27,,4.117,.114,.7342,25.96,59.79,7.05,13.39,5.98,8.59,87.76000000000001,79.75,84.51000000000001,94.29000000000001,47.45,47.14,52.89,57.17,52.34,50.59,51.45,51.5,63.14,57.46,46.37,60.13,51.59,63.38,49.76,60.9,43.36,37,64.99,53.02
78,213100,900,5900,12200,13700,171100,.5748,.8619,.4433,.523,1.268,47.88,64.43000000000001,47.2,43.11,45.15,55.01,47.47,62.35,44.78,54.09,62.02,59.79,62.43,60.04,61.2,76.13,62.41,81.91,72.18000000000001,31.01,30.15,29.88,39.03,,4.301,.1263,.7835,25.78,59.86,7.38,13.14,5.55,8.549,87.06,81.55,84.58,94.08,50,45.56,52.12,57.58,52.63,51.11,51.86,51.88,63.48,57.81,47.36,60.38,51.98,63.71,46.1,60.35,42.79,37.31,65,53.27
79,213100,1000,6100,11800,13600,171100,.6051,.8912,.4288,.5191,1.268,48.58,64.40000000000001,47.72,43.68,45.69,55.28,50,61.63,45.55,54.18,62.37,60.13,62.79,60.36,61.56,78.93000000000001,66.62000000000001,82.33,72.98,30.98,32.19,29.89,39.44,,4.051,.0921,.692,25.92,60.06,6.86,10.56,5.389,8.220000000000001,86.56,82.88,84.38,94.73,49.38,47.95,52.15,58.26,53.18,51.65,52.42,52.31,63.81,58.2,47.29,61.47,52.63,63.97,50.94,60.82,43.27,37.5,65.11,53.48
80,213100,900,6100,11400,13200,172500,.5446,.8912,.4141,.5038,1.279,49.2,64.88,47.76,44.34,46.05,55.84,47.04,61.59,46.9,55.1,62.27,60.47,63.06,60.58,61.79,77.73,64.11,83.3,73.14,31.85,31,30.26,39.47,.2829,4.228,.0887,.6487000000000001,26.64,60.2,7.88,12.95,5.309,8.32,87.54000000000001,82.84,85.02,94.34,49.72,47.55,53.81,57.86,52.98,52.34,52.66,52.56,64.02,58.4,49.35,60.47,52.92,64.27,48.55,60.61,43.47,38.15,65.25,53.45
81,213100,800,6500,11600,13000,172000,.5144,.9495,.4215,.4962,1.274,51.35,65.27,48.22,44.65,46.43,56.28,53.11,59.26,46.67,55.54,62.86,60.9,63.48,60.99,62.2,81.12000000000001,66.09,84.27,74.65000000000001,32.61,32.65,30.5,39.27,,3.58,.115,.6898,27.21,60.4,7.97,12.84,5.45,8,89.36,86.41,85.41,94.31,53.16,45.72,54.22,58.9,53.7,52.62,53.16,52.9,64.36,58.77,50.32,61.47,53.02,64.54000000000001,52.27,62.14,43.56,37.84,65.41,53.74
82,213100,800,6400,11200,12800,173100,.484,.9350000000000001,.4069,.4887,1.282,49.35,65.36,48.7,43.92,46.28,56.47,51.65,61.63,46.81,55.72,63.43,61.32,64.13,61.3,62.68,81.66,65.12000000000001,84.91,75.23,32.47,32.13,30.62,39.31,.2707,3.519,.0937,.6695,26.78,60.62,5.089,10.18,4.919,7.529,87.56,82.93000000000001,85.90000000000001,94.47,52.83,51.18,55,59,54.15,51.74,52.92,53.43,64.63,59.15,47.96,61.47,52.4,64.84,51.97,63.09,43.75,38.04,65.84,53.84
83,213100,800,6600,10800,12500,173100,.5144,.9642,.3923,.4772,1.282,50.56,65.54000000000001,49.22,44.93,47.08,56.81,48.52,61.63,46.93,57.67,63.36,61.61,64.25,61.56,62.86,79.06999999999999,65.97,84.72,75.8,31.74,30.13,30.66,39.5,.3179,3.682,.0832,.5922,27.61,60.54,6.549,12.27,5.19,7.59,87.87000000000001,81.94,85.68000000000001,94.64,51.22,49.68,55.27,58.63,54.36,53.11,53.74,53.75,64.90000000000001,59.45,49.35,62.35,53.66,65.05,48.88,62.77,44.37,37.79,65.69,53.89
84,213100,700,6700,10600,12200,173500,.4538,.9787,.3851,.4658,1.286,52.38,65.48,49.27,45.75,47.49,57.14,54.13,63.07,46.7,56.56,63.86,62.09,64.79000000000001,61.97,63.36,79.8,67.23,85.51000000000001,76.62000000000001,30.15,32.34,30.71,39.67,.2408,3.016,.0941,.5773,26.72,61.04,7.26,9.839,4.769,7.759,84.5,84.69,86.2,94.95,50.56,51,55.24,59.04,54.47,53.75,54.11,53.98,65.2,59.7,48.56,61.46,54.48,65.44,52.06,62.95,44.01,38.38,66.17,54.4
85,213100,800,6900,10500,12000,174600,.484,1.008,.3815,.4581,1.294,49.36,66.84,50,46.22,48.09,57.61,46.84,61.91,48.41,57.28,64.12000000000001,62.51,65.12000000000001,62.36,63.71,79.40000000000001,66.75,86.09,77.62000000000001,32.16,33.92,30.7,39.36,,3.421,.079,.5123,28.12,61.05,6.65,9.59,4.949,7.519,86.61,83.27,85.79000000000001,94.40000000000001,52.98,52.93,55.57,59.29,55.51,53.88,54.69,54.29,65.58,60.08,49.36,62.63,54.51,65.76000000000001,52.57,61.91,43.77,38.97,66.38,54.42
86,213100,800,7100,10400,11800,174000,.5144,1.037,.3779,.4505,1.29,50.36,66.09,50.54,46.31,48.43,57.54,50.98,62.27,47.95,56.58,64.52,62.86,65.63,62.71,64.13,82.43000000000001,71.62000000000001,86.3,78.18000000000001,31.94,32.13,30.9,40.06,,3,.0913,.5447,28.05,61.29,5.579,10.06,4.8,7.22,87.79000000000001,86.18000000000001,86.11,95.18000000000001,54.92,53.7,56.14,60.23,55.56,54.2,54.88,54.97,65.84,60.53,49.38,62.17,54.81,66.05,49.93,62.32,45.27,38.9,66.54000000000001,54.63
87,213100,700,7300,10100,11500,174600,.4236,1.065,.367,.4389,1.294,51.18,66.56,51.68,46.06,48.79,57.99,52.09,60.56,48.97,58.05,64.95,63.33,65.81999999999999,63.27,64.51000000000001,82.31,70.54000000000001,87.18000000000001,79.39,31.88,31.43,30.72,40.11,,3.383,.0745,.5405,28.48,61.48,5.49,8.310000000000001,4.48,6.94,86.76000000000001,86.12000000000001,85.52,94.73,54.93,52.56,56.87,60.94,56.72,53.89,55.27,55.24,66.41,60.94,48.67,62.46,54.52,66.62000000000001,49.34,63.95,45.22,38.7,66.54000000000001,54.86
88,213100,700,7600,9700,11200,174600,.4236,1.11,.3525,.4275,1.294,51.47,67.93000000000001,51.52,47.25,49.35,58.86,51.79,65.04000000000001,50.03,58.36,65.45,63.84,66.34999999999999,63.61,64.95,83.55,70.8,87.5,80.66,32.5,32.84,31.01,40.13,,3.539,.0743,.4818,29.38,61.68,5.46,9.130000000000001,4.44,6.869,88.05,86.97,85.91,95.08,56.45,53.18,57.38,61.56,56.4,54.72,55.56,55.6,66.66,61.25,52.09,62.35,55.01,66.88,57.05,63.5,45.16,39.85,66.72,55.06
89,213100,600,7700,9600,10600,176000,.363,1.125,.3488,.4046,1.305,50.83,67.87000000000001,52.21,47.59,49.85,59.38,47.36,63.73,49.38,58.86,65.81,64.36,66.97,64.04000000000001,65.47,84.09,68.2,88.15000000000001,81.38,32.02,32.45,31.16,40.11,,3.273,.0639,.4501,29.18,61.69,5.329,9.029,4.349,6.829,87.76000000000001,84.3,86.44,95.18000000000001,55.4,50.35,57.88,62.55,57.02,55.25,56.13,56.32,67.08,61.82,51.44,63.04,55.63,67.29000000000001,46.25,63.68,45.28,39.18,67.05,55.11
90,213100,600,7900,9200,10500,175500,.363,1.154,.3343,.4009,1.3,51.63,68.5,53.2,48.43,50.81,59.45,53.52,65.44,50.26,59.47,66.51000000000001,64.86,67.38,64.48,65.90000000000001,84.18000000000001,70.75,89.05,82.22,32.63,32.45,31.2,40.21,,3.324,.0635,.4611,30.34,61.92,5.03,9.569000000000001,4.219,6.49,89,85.51000000000001,85.90000000000001,95,56.45,50.71,58.61,61.89,57.87,55.86,56.87,56.52,67.5,62.12,52.04,63.61,56.18,67.69,53.25,65.95,45.61,40.47,67.3,55.36
91,213100,600,8100,9000,9900,176600,.363,1.182,.3269,.3779,1.309,52.15,69.44,53.77,48.45,51.04,60.34,55.06,64.13,51.11,61.58,66.90000000000001,65.45,67.90000000000001,65.02,66.44,85.27,73.77,89.39,82.87000000000001,33.42,34.22,31.35,40.29,,2.578,.0871,.4633,30.03,62.25,4.049,9.739000000000001,4.07,6.28,88.44,87.81,86.64,95.41,56,53.31,58.86,62.89,58.58,55.56,57.04,57.04,67.95,62.56,50.98,63.58,55.93,68.15000000000001,52.22,63.95,46,40.21,67.51000000000001,55.68
92,213100,500,8200,8300,9600,177500,.3328,1.197,.3015,.3664,1.315,53.45,69.06999999999999,53.79,50.21,51.97,60.7,50.59,65.95,51.24,61.51,67.29000000000001,65.95,68.38,65.45,66.88,84.18000000000001,75.68000000000001,90.20999999999999,83.45,32.89,34.46,31.13,40.56,.2793,2.593,.068,.4251,30.64,62.32,5.66,8.65,3.869,6.159,87.81999999999999,84,86.3,95.26000000000001,58.9,57.31,59.9,63.07,58.43,57.08,57.75,57.63,68.33,63.09,51,63.87,57.61,68.54000000000001,55.15,64.09,46.37,41.56,67.74,55.84
93,213100,500,8300,7900,9400,178100,.3328,1.212,.287,.3589,1.319,56.84,70.04000000000001,55.06,50.41,52.71,61.02,57.02,65.51000000000001,52.33,60.44,68.02,66.66,69.15000000000001,66.02,67.54000000000001,87.02,73.95999999999999,90.06,84.55,33.9,32.86,31.44,40.56,,2.273,.0652,.3973,30.72,62.74,3.95,8.439,4.189,6.32,88.84,86.77,86.75,94.86,62.17,52.98,59.99,64.09,59.94,58.09,59,58.36,68.77,63.68,53.34,63.66,58.45,69.02,60.04,65.7,46.14,41,68.13,56.23
94,213100,500,8600,7100,8800,178500,.3328,1.255,.258,.3359,1.322,55.37,70.81,56.59,50.65,53.66,62.47,59.4,67.39,54.34,61.69,68.44,67.31,69.62000000000001,66.56,68.06,86.66,78.41,90.8,85.81,33.4,34.87,31.57,40.89,,2.496,.0388,.3648,32.59,62.77,4.15,7.909,4.019,6.289,88.44,89.59,86.3,95.37000000000001,60.68,57.95,60.13,64.56,60.97,57.68,59.35,58.64,69.26000000000001,64.05,53.21,64.61,58.04,69.47,56.77,66.2,47.52,42.01,68.31,56.51
95,213100,400,8900,6300,8400,180100,.2723,1.3,.2289,.3206,1.334,54.33,70.75,57.72,52.4,55.1,62.48,54.11,66.94,55.66,63.05,69.31,68,70.33,67.17,68.7,89.45,82.24,91.54000000000001,86.25,33.11,37.4,31.52,40.92,,1.959,.0384,.3435,33.09,63.05,3.539,7.4,3.829,5.69,92.31,94.2,86.02,95.34,59.88,58.81,61.5,64.66,61.5,59.41,60.47,59.35,69.74,64.66,59.64,66.03,59.4,69.92,68.72,67.18000000000001,48.11,42.4,68.61,56.75
96,213100,400,8700,5400,7900,181000,.2421,1.271,.1961,.3015,1.342,58.38,71.77,58.08,54.27,56.1,63.68,60.4,69.47,55.52,63.1,70.05,68.87000000000001,71.01000000000001,67.93000000000001,69.44,86.91,82.43000000000001,91.90000000000001,87.48,32.74,34.78,31.96,41.4,,2.259,.0491,.3261,34.7,63.27,3.889,6.899,3.63,5.94,89.66,87.18000000000001,86.34999999999999,95.37000000000001,58.64,59.99,62.09,64.48,61.69,60.67,61.17,59.93,70.47,65.29000000000001,56.66,66.29000000000001,60.97,70.69,52.54,65.81,48.59,43.97,68.95,56.97
97,213100,300,8800,4300,7300,183100,.2118,1.286,.1563,.2786,1.356,56.28,72.28,60.06,54.7,57.45,63.74,60.23,67.26000000000001,57.11,62.99,70.65000000000001,69.59,71.63,68.59,70.08,88.5,80.22,92.2,88.44,33.65,36.27,31.97,41.45,,1.812,.0488,.2762,35.93,63.45,4.23,7.669,3.589,5.649,88.23,,86.81999999999999,95.52,60.97,59.14,62.2,66.23,63.27,60.85,62.09,60.38,70.98,65.77,52.06,66.23,61.58,71.23,53.02,68.66,49.04,44.25,69.23,57.29
98,213100,300,8900,3400,7000,184000,.1815,1.3,.1234,.2672,1.363,60.38,72.77,60.88,56.04,58.32,64.13,62.77,68.97,59.49,63.22,71.29000000000001,70.33,72.25,69.36,70.79000000000001,87.84,81.63,93.09999999999999,89.02,36.23,39.25,32.18,41.89,,1.633,.0472,.2435,37.45,63.63,3.519,7.539,3.7,5.849,,,86.63,96.04000000000001,60.5,59.31,62.69,67.06,62.89,61.99,62.41,60.82,71.59999999999999,66.3,55.28,66.20999999999999,62.59,71.88,56.4,67.92,50.89,45.07,69.51000000000001,57.59
99,213100,300,8800,2400,6400,185500,.1815,1.286,.0872,.2442,1.375,61.68,74.19,61.68,56.34,58.79,66.3,58.31,68.84,62.07,66.44,72.38,71.59,73.26000000000001,70.62000000000001,71.93000000000001,84.02,86.56,93.37000000000001,89.98,33.69,34.75,31.28,42.25,,2.049,.0398,.2267,38.94,64.22,4.58,5.88,3.7,5.83,,,85.05,95.40000000000001,59.09,58.67,63.46,66.95,62.68,61.81,62.2,61.59,72.77,67.29000000000001,50.91,67.66,62.87,73.02,63.69,69.38,51.06,44.43,70.09999999999999,58.14
100,213100,200,8600,1800,5600,186600,.1512,1.255,.0654,.2137,1.383,62.92,77.56,63.66,59.59,61.51,67.70999999999999,67.87000000000001,70.44,61.94,66.15000000000001,74.62000000000001,73.76000000000001,75.13,72.8,73.95,,80.76000000000001,93.37000000000001,90.54000000000001,30.4,35.75,30.14,42.7,,2.239,.0368,.2101,43.15,64.47,,11.35,3.929,6.079,,,82.02,95.2,63.86,59.02,63.5,69.18000000000001,62.27,64.58,63.5,63.86,74.73,69.38,48.91,69.54000000000001,66.2,75,61.78,71.29000000000001,55.81,47.72,70.61,58.97
