par_cz,par_czname,par_state,par_stateabbrv,kid_count,inventor,top5cit,inventor_cat_1,inventor_cat_2,inventor_cat_3,inventor_cat_4,inventor_cat_5,inventor_cat_6,inventor_cat_7,top5cit_cat_1,top5cit_cat_2,top5cit_cat_3,top5cit_cat_4,top5cit_cat_5,top5cit_cat_6,top5cit_cat_7,kid_count_g_m,inventor_g_m,top5cit_g_m,inventor_cat_1_g_m,inventor_cat_2_g_m,inventor_cat_3_g_m,inventor_cat_4_g_m,inventor_cat_5_g_m,inventor_cat_6_g_m,inventor_cat_7_g_m,top5cit_cat_1_g_m,top5cit_cat_2_g_m,top5cit_cat_3_g_m,top5cit_cat_4_g_m,top5cit_cat_5_g_m,top5cit_cat_6_g_m,top5cit_cat_7_g_m,kid_count_g_f,inventor_g_f,top5cit_g_f,inventor_cat_1_g_f,inventor_cat_2_g_f,inventor_cat_3_g_f,inventor_cat_4_g_f,inventor_cat_5_g_f,inventor_cat_6_g_f,inventor_cat_7_g_f,top5cit_cat_1_g_f,top5cit_cat_2_g_f,top5cit_cat_3_g_f,top5cit_cat_4_g_f,top5cit_cat_5_g_f,top5cit_cat_6_g_f,top5cit_cat_7_g_f,kid_count_pq_1,inventor_pq_1,top5cit_pq_1,inventor_cat_1_pq_1,inventor_cat_2_pq_1,inventor_cat_3_pq_1,inventor_cat_4_pq_1,inventor_cat_5_pq_1,inventor_cat_6_pq_1,inventor_cat_7_pq_1,top5cit_cat_1_pq_1,top5cit_cat_2_pq_1,top5cit_cat_3_pq_1,top5cit_cat_4_pq_1,top5cit_cat_5_pq_1,top5cit_cat_6_pq_1,top5cit_cat_7_pq_1,kid_count_pq_2,inventor_pq_2,top5cit_pq_2,inventor_cat_1_pq_2,inventor_cat_2_pq_2,inventor_cat_3_pq_2,inventor_cat_4_pq_2,inventor_cat_5_pq_2,inventor_cat_6_pq_2,inventor_cat_7_pq_2,top5cit_cat_1_pq_2,top5cit_cat_2_pq_2,top5cit_cat_3_pq_2,top5cit_cat_4_pq_2,top5cit_cat_5_pq_2,top5cit_cat_6_pq_2,top5cit_cat_7_pq_2,kid_count_pq_3,inventor_pq_3,top5cit_pq_3,inventor_cat_1_pq_3,inventor_cat_2_pq_3,inventor_cat_3_pq_3,inventor_cat_4_pq_3,inventor_cat_5_pq_3,inventor_cat_6_pq_3,inventor_cat_7_pq_3,top5cit_cat_1_pq_3,top5cit_cat_2_pq_3,top5cit_cat_3_pq_3,top5cit_cat_4_pq_3,top5cit_cat_5_pq_3,top5cit_cat_6_pq_3,top5cit_cat_7_pq_3,kid_count_pq_4,inventor_pq_4,top5cit_pq_4,inventor_cat_1_pq_4,inventor_cat_2_pq_4,inventor_cat_3_pq_4,inventor_cat_4_pq_4,inventor_cat_5_pq_4,inventor_cat_6_pq_4,inventor_cat_7_pq_4,top5cit_cat_1_pq_4,top5cit_cat_2_pq_4,top5cit_cat_3_pq_4,top5cit_cat_4_pq_4,top5cit_cat_5_pq_4,top5cit_cat_6_pq_4,top5cit_cat_7_pq_4,kid_count_pq_5,inventor_pq_5,top5cit_pq_5,inventor_cat_1_pq_5,inventor_cat_2_pq_5,inventor_cat_3_pq_5,inventor_cat_4_pq_5,inventor_cat_5_pq_5,inventor_cat_6_pq_5,inventor_cat_7_pq_5,top5cit_cat_1_pq_5,top5cit_cat_2_pq_5,top5cit_cat_3_pq_5,top5cit_cat_4_pq_5,top5cit_cat_5_pq_5,top5cit_cat_6_pq_5,top5cit_cat_7_pq_5
35802,"Ontario","Oregon","OR",4020,.0014925,.0002488,.0002488,.0007463,0,.0002488,0,0,.0002488,0,0,0,0,0,0,.0002488,1989,.0025138,.0005028,.0005028,.0010055,0,.0005028,0,0,.0005028,0,0,0,0,0,0,.0005028,2031,.0004924,0,0,.0004924,0,0,0,0,0,0,0,0,0,0,0,0,929,.0021529,0,0,.0010764,0,.0010764,0,0,0,0,0,0,0,0,0,0,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060,.0009434,0,.0009434,0,0,0,0,0,0,0,0,0,0,0,0,0,676,.0014793,.0014793,0,0,0,0,0,0,.0014793,0,0,0,0,0,0,.0014793,330,.0060606,0,0,.0060606,0,0,0,0,0,0,0,0,0,0,0,0
35803,"McCall","Idaho","ID",950,.0031579,0,0,.0010526,0,0,.0021053,0,0,0,0,0,0,0,0,0,490,.0061224,0,0,.0020408,0,0,.0040816,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35901,"St. George","Utah","UT",9069,.0031977,0,.0002205,.0006616,.0003308,.0001103,.0008821,.0008821,.0001103,0,0,0,0,0,0,0,4648,.0049484,0,.0002151,.0010757,.0002151,.0002151,.0017212,.0012909,.0002151,0,0,0,0,0,0,0,4421,.0013572,0,.0002262,.0002262,.0004524,0,0,.0004524,0,0,0,0,0,0,0,0,1356,.0022124,0,0,.0007375,0,0,0,.0014749,0,0,0,0,0,0,0,0,1937,.002065,0,0,0,.0005163,0,.0005163,.0010325,0,0,0,0,0,0,0,0,2394,.0033417,0,0,.0012531,0,.0004177,.0008354,.0008354,0,0,0,0,0,0,0,0,2181,.0041265,0,.0004585,.0004585,.0004585,0,.001834,.0004585,.0004585,0,0,0,0,0,0,0,1201,.0041632,0,.0008326,.0008326,.0008326,0,.0008326,.0008326,0,0,0,0,0,0,0,0
35902,"Price","Utah","UT",5054,.0027701,0,0,.0005936,.0005936,.0001979,.0009893,.0003957,0,0,0,0,0,0,0,0,2551,.004312,0,0,.000392,.000784,.000392,.00196,.000784,0,0,0,0,0,0,0,0,2502,.001199,0,0,.0007994,.0003997,0,0,0,0,0,0,0,0,0,0,0,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924,.0054113,0,0,.0010823,.0021645,0,.0010823,.0010823,0,0,0,0,0,0,0,0,1323,.0037793,0,0,.0007559,0,.0007559,.0015117,.0007559,0,0,0,0,0,0,0,0,1520,.0006579,0,0,0,0,0,.0006579,0,0,0,0,0,0,0,0,0,656,.0045732,0,0,.0015244,.0015244,0,.0015244,0,0,0,0,0,0,0,0,0
35903,"Moab","Utah","UT",600,.005,0,0,0,0,.0016667,0,.0033333,0,0,0,0,0,0,0,0,293,.0102389,0,0,0,0,.003413,0,.0068259,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35904,"Richfield","Utah","UT",2287,.0008745,0,0,.0008745,0,0,0,0,0,0,0,0,0,0,0,0,1147,.0017437,0,0,.0017437,0,0,0,0,0,0,0,0,0,0,0,0,1140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671,.0014903,0,0,.0014903,0,0,0,0,0,0,0,0,0,0,0,0,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
35905,"Loa","Utah","UT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36000,"Provo","Utah","UT",28249,.0039647,.0000708,.0002478,.0011682,.0002832,.0004956,.0006018,.001062,.0001062,0,0,0,0,0,0,.0000708,14443,.0065083,.0000692,.000277,.0022156,.0003462,.0008309,.0009001,.0018002,.0001385,0,0,0,0,0,0,.0000692,13802,.0013042,.0000725,.0002174,.0000725,.0002174,.0001449,.0002898,.0002898,.0000725,0,0,0,0,0,0,.0000725,2198,.0013649,0,0,.000455,0,.000455,.000455,0,0,0,0,0,0,0,0,0,3843,.0013011,0,.0002602,.0005204,0,0,0,.0002602,.0002602,0,0,0,0,0,0,0,7058,.0028337,0,.000425,.0008501,.0001417,.000425,.0002834,.0007084,0,0,0,0,0,0,0,0,8354,.0039502,0,.0002394,.001197,.0002394,.0008379,.0005985,.0008379,0,0,0,0,0,0,0,0,6796,.0075044,.0002943,.0001471,.00206,.0007357,.0004414,.0013243,.0025015,.0002943,0,0,0,0,0,0,.0002943
36100,"Salt Lake City","Utah","UT",109361,.0028255,.0000732,.0002012,.0007955,.0005486,.0003109,.0003383,.0004389,.000192,0,0,.0000183,0,.0000183,9.14e-06,.0000274,55577,.0048581,.000108,.0003599,.0014035,.0009176,.0005218,.0006298,.0007377,.0002879,0,0,.000036,0,.000036,.000018,.000018,53768,.0007253,.0000372,.0000372,.0001674,.0001674,.000093,.0000372,.0001302,.000093,0,0,0,0,0,0,.0000372,8963,.0010041,0,.0001116,.0001116,.0005578,0,0,.0002231,0,0,0,0,0,0,0,0,15635,.0014711,0,.000064,.0005117,.0001279,.0001919,.000064,.0003198,.0001919,0,0,0,0,0,0,0,24786,.0016542,.0000403,.000121,.0003228,.0004438,.0001614,.0002421,.0002421,.000121,0,0,0,0,.0000403,0,0,31933,.0030063,.0000626,.0002192,.0009395,.000501,.0003132,.0004697,.0004384,.0001253,0,0,0,0,0,0,.0000626,28044,.0049922,.0001783,.0003566,.0014263,.0009271,.0006062,.0005349,.0007488,.0003922,0,0,.0000713,0,.0000357,.0000357,.0000357
36200,"Logan","Utah","UT",12438,.0032963,.0000804,.0002412,.0006432,.0009648,.0001608,.000402,.0008844,0,0,0,.0000804,0,0,0,0,6327,.006006,.0001581,.0004742,.0012644,.0017386,.0003161,.0007903,.0014225,0,0,0,.0001581,0,0,0,0,6110,.000491,0,0,0,.0001637,0,0,.0003273,0,0,0,0,0,0,0,0,936,.0010684,0,0,0,0,0,.0010684,0,0,0,0,0,0,0,0,0,2050,.0019512,0,.0004878,0,0,.0004878,0,.0009756,0,0,0,0,0,0,0,0,3691,.0024384,0,0,.0005419,.0005419,0,.0005419,.0008128,0,0,0,0,0,0,0,0,3888,.0033436,0,.0002572,.0007716,.001286,0,0,.0010288,0,0,0,0,0,0,0,0,1873,.0074746,.0005339,.0005339,.0016017,.0026695,.0005339,.0010678,.0010678,0,0,0,.0005339,0,0,0,0
