par_state,par_stateabbrv,kid_count,inventor,top5cit,inventor_cat_1,inventor_cat_2,inventor_cat_3,inventor_cat_4,inventor_cat_5,inventor_cat_6,inventor_cat_7,top5cit_cat_1,top5cit_cat_2,top5cit_cat_3,top5cit_cat_4,top5cit_cat_5,top5cit_cat_6,top5cit_cat_7,kid_count_g_m,inventor_g_m,top5cit_g_m,inventor_cat_1_g_m,inventor_cat_2_g_m,inventor_cat_3_g_m,inventor_cat_4_g_m,inventor_cat_5_g_m,inventor_cat_6_g_m,inventor_cat_7_g_m,top5cit_cat_1_g_m,top5cit_cat_2_g_m,top5cit_cat_3_g_m,top5cit_cat_4_g_m,top5cit_cat_5_g_m,top5cit_cat_6_g_m,top5cit_cat_7_g_m,kid_count_g_f,inventor_g_f,top5cit_g_f,inventor_cat_1_g_f,inventor_cat_2_g_f,inventor_cat_3_g_f,inventor_cat_4_g_f,inventor_cat_5_g_f,inventor_cat_6_g_f,inventor_cat_7_g_f,top5cit_cat_1_g_f,top5cit_cat_2_g_f,top5cit_cat_3_g_f,top5cit_cat_4_g_f,top5cit_cat_5_g_f,top5cit_cat_6_g_f,top5cit_cat_7_g_f,kid_count_pq_1,inventor_pq_1,top5cit_pq_1,inventor_cat_1_pq_1,inventor_cat_2_pq_1,inventor_cat_3_pq_1,inventor_cat_4_pq_1,inventor_cat_5_pq_1,inventor_cat_6_pq_1,inventor_cat_7_pq_1,top5cit_cat_1_pq_1,top5cit_cat_2_pq_1,top5cit_cat_3_pq_1,top5cit_cat_4_pq_1,top5cit_cat_5_pq_1,top5cit_cat_6_pq_1,top5cit_cat_7_pq_1,kid_count_pq_2,inventor_pq_2,top5cit_pq_2,inventor_cat_1_pq_2,inventor_cat_2_pq_2,inventor_cat_3_pq_2,inventor_cat_4_pq_2,inventor_cat_5_pq_2,inventor_cat_6_pq_2,inventor_cat_7_pq_2,top5cit_cat_1_pq_2,top5cit_cat_2_pq_2,top5cit_cat_3_pq_2,top5cit_cat_4_pq_2,top5cit_cat_5_pq_2,top5cit_cat_6_pq_2,top5cit_cat_7_pq_2,kid_count_pq_3,inventor_pq_3,top5cit_pq_3,inventor_cat_1_pq_3,inventor_cat_2_pq_3,inventor_cat_3_pq_3,inventor_cat_4_pq_3,inventor_cat_5_pq_3,inventor_cat_6_pq_3,inventor_cat_7_pq_3,top5cit_cat_1_pq_3,top5cit_cat_2_pq_3,top5cit_cat_3_pq_3,top5cit_cat_4_pq_3,top5cit_cat_5_pq_3,top5cit_cat_6_pq_3,top5cit_cat_7_pq_3,kid_count_pq_4,inventor_pq_4,top5cit_pq_4,inventor_cat_1_pq_4,inventor_cat_2_pq_4,inventor_cat_3_pq_4,inventor_cat_4_pq_4,inventor_cat_5_pq_4,inventor_cat_6_pq_4,inventor_cat_7_pq_4,top5cit_cat_1_pq_4,top5cit_cat_2_pq_4,top5cit_cat_3_pq_4,top5cit_cat_4_pq_4,top5cit_cat_5_pq_4,top5cit_cat_6_pq_4,top5cit_cat_7_pq_4,kid_count_pq_5,inventor_pq_5,top5cit_pq_5,inventor_cat_1_pq_5,inventor_cat_2_pq_5,inventor_cat_3_pq_5,inventor_cat_4_pq_5,inventor_cat_5_pq_5,inventor_cat_6_pq_5,inventor_cat_7_pq_5,top5cit_cat_1_pq_5,top5cit_cat_2_pq_5,top5cit_cat_3_pq_5,top5cit_cat_4_pq_5,top5cit_cat_5_pq_5,top5cit_cat_6_pq_5,top5cit_cat_7_pq_5
"Georgia","GA",480311,.0011534,.0000583,.0000895,.000331,.0001749,.0001332,.0001166,.0001874,.0001208,2.08e-06,4.16e-06,4.16e-06,4.16e-06,6.25e-06,6.25e-06,.0000312,240920,.0017848,.0000872,.0001162,.0005645,.0002283,.0002366,.0002075,.0002532,.0001785,4.15e-06,8.30e-06,8.30e-06,8.30e-06,.0000125,4.15e-06,.0000415,239339,.0005181,.0000292,.0000627,.0000961,.0001212,.0000292,.0000251,.0001212,.0000627,0,0,0,0,0,8.36e-06,.0000209,111423,.0002244,0,.0000179,.0000538,.0000449,8.97e-06,8.97e-06,.0000808,8.97e-06,0,0,0,0,0,0,0,107655,.0004459,.0000186,.0000372,.0001393,.0000464,.0000743,.0000464,.000065,.0000372,0,9.29e-06,0,0,0,0,9.29e-06,88349,.0008715,.0000453,.0000679,.0002151,.0001471,.0001019,.0000566,.0001132,.0001698,0,0,0,.0000113,0,0,.000034,82898,.0014476,.0000603,.0000965,.0004101,.0002533,.0000965,.000193,.0002533,.0001448,0,.0000121,0,0,.0000121,.0000121,.0000241,89986,.003156,.0001889,.0002556,.0009446,.0004445,.0004223,.0003223,.0004779,.0002889,.0000111,0,.0000222,.0000111,.0000222,.0000222,.0001
"Hawaii","HI",61399,.0015961,.0001792,.0000814,.0005538,.0002606,.0002606,.000114,.0001954,.0001303,.0000163,.0000489,.0000326,0,.0000163,0,.0000651,30954,.002326,.0002908,.0000969,.0008077,.0003231,.0004523,.0002261,.0002908,.0001292,.0000323,.0000969,.0000646,0,.0000323,0,.0000646,30438,.0008542,.0000657,.0000657,.0002957,.0001971,.0000657,0,.0000986,.0001314,0,0,0,0,0,0,.0000657,9364,.0003204,0,0,0,.0001068,0,0,.0002136,0,0,0,0,0,0,0,0,12383,.0005653,0,.0000808,.0001615,0,.0000808,0,.0001615,.0000808,0,0,0,0,0,0,0,13138,.0009134,0,0,.0006089,0,.0000761,.0000761,.0000761,.0000761,0,0,0,0,0,0,0,13759,.0013809,.0001454,.0001454,.000218,.0002907,.000218,.0000727,.0002907,.0001454,0,0,.0000727,0,0,0,.0000727,12755,.0044688,.0007056,.0001568,.0016464,.0008624,.0008624,.000392,.0002352,.0003136,.0000784,.0002352,.0000784,0,.0000784,0,.0002352
"Iowa","IA",190302,.0025118,.0001104,.0002365,.000599,.0003363,.000247,.0004309,.0004992,.0001629,5.25e-06,.0000263,0,.0000105,.0000158,.000021,.0000315,95837,.0042259,.0002087,.0003443,.0010226,.0004591,.0004382,.0008034,.0008452,.000313,.0000104,.0000417,0,.0000209,.0000313,.0000417,.0000626,94465,.0007728,.0000106,.000127,.0001694,.0002117,.0000529,.0000529,.0001482,.0000106,0,.0000106,0,0,0,0,0,21487,.0009308,0,.0000931,.0002327,.0001862,.0000465,.0001396,.0001862,.0000465,0,0,0,0,0,0,0,36413,.0013457,.0000824,.0001922,.0002472,.0001648,.0001373,.0001373,.000357,.0001099,0,0,0,0,0,.0000275,.0000549,50142,.0018148,.0000798,.0001795,.0003191,.0001994,.0001595,.0003789,.0003789,.0001994,0,0,0,.0000199,.0000199,.0000199,.0000199,49239,.0030261,.0001422,.000264,.0007921,.0003249,.0002234,.000589,.0006296,.0002031,0,.0000406,0,0,.0000203,.0000203,.0000609,33021,.005118,.000212,.000424,.0013628,.0008479,.0006662,.0007874,.0008479,.0001817,.0000303,.0000909,0,.0000303,.0000303,.0000303,0
"Idaho","ID",92085,.0024108,.0000869,.0000977,.0006516,.0004018,.0002715,.0003801,.0004561,.000152,0,.0000326,0,.0000217,.0000326,0,0,46918,.0041988,.0001705,.0001705,.0011723,.0005968,.0005328,.000746,.0007886,.0001918,0,.0000639,0,.0000426,.0000639,0,0,45162,.0005536,0,.0000221,.0001107,.0001993,0,0,.0001107,.0001107,0,0,0,0,0,0,0,12824,.0013256,.000078,0,.0005459,.0003119,0,.0003119,.000156,0,0,.000078,0,0,0,0,0,20448,.0009292,.0000489,.0000978,.0000978,.0002445,.0001956,.0000489,.0000978,.0001467,0,0,0,0,.0000489,0,0,24303,.0019751,0,.0000823,.0004938,.000288,.0001234,.0003703,.0005349,.0000823,0,0,0,0,0,0,0,20609,.0032025,.000097,.0001456,.0009219,.0003882,.0004367,.0004367,.0006793,.0001941,0,0,0,.000097,0,0,0,13901,.0051795,.0002877,.0001439,.0014387,.0009352,.0006474,.0008632,.0007913,.0003597,0,.0001439,0,0,.0001439,0,0
"Illinois","IL",714061,.0025558,.0001554,.0002045,.0007296,.0002997,.0003025,.0003683,.0004551,.0001961,2.80e-06,.0000252,4.20e-06,.000028,.0000182,.0000224,.0000546,358330,.0041889,.0002707,.0002874,.001253,.0003879,.0005554,.0006781,.0007256,.0003014,2.79e-06,.0000474,8.37e-06,.0000502,.0000363,.0000419,.0000837,355703,.0009109,.0000394,.0001209,.0002024,.0002109,.0000478,.0000562,.0001827,.00009,2.81e-06,2.81e-06,0,5.62e-06,0,2.81e-06,.0000253,107109,.0004668,0,.0000654,.0001494,.0000467,.000028,.000028,.0001027,.0000467,0,0,0,0,0,0,0,125665,.0008753,.0000477,.0000477,.0002149,.0001114,.0001432,.0000716,.0002069,.0000796,0,.0000159,0,0,7.96e-06,0,.0000239,139875,.001487,.0000715,.0001787,.0003289,.0001215,.0001215,.0003003,.0003503,.0000858,0,7.15e-06,0,.0000214,0,.0000214,.0000214,160752,.0026252,.0001555,.0001991,.0006967,.0002862,.0002986,.0004043,.0005101,.0002302,0,.0000187,0,.0000311,.0000187,.0000249,.0000622,180660,.005729,.0003875,.0004207,.0017713,.0007307,.0007196,.0007971,.000869,.0004207,.0000111,.0000664,.0000166,.0000664,.0000498,.0000498,.0001273
"Indiana","IN",384678,.0023188,.000117,.0001456,.0004887,.0004731,.0002782,.0003068,.0004393,.0001872,0,.0000182,7.80e-06,.000026,.0000156,.000013,.0000364,194806,.0038449,.0002002,.0002156,.0008932,.000693,.0005185,.0005185,.0007238,.0002823,0,.0000308,.0000103,.0000513,.0000308,.0000257,.0000513,189865,.0007532,.0000316,.0000737,.0000737,.0002475,.0000316,.0000895,.0001475,.0000895,0,5.27e-06,5.27e-06,0,0,0,.0000211,51708,.0006189,0,0,.0001547,.0001354,.0000774,.0000967,.000058,.0000967,0,0,0,0,0,0,0,71255,.0009543,.0000421,.0000421,.0002245,.0001403,.0001684,.0000982,.0002245,.0000561,0,0,0,.000014,0,0,.0000281,87409,.0014186,.0000801,.0000229,.0002975,.0002746,.0001716,.0002174,.0003089,.0001258,0,0,0,.0000114,.0000114,.0000229,.0000343,96612,.002598,.0002277,.0002691,.0005175,.0004451,.0002795,.0003519,.0005072,.0002277,0,.0000518,.0000207,.0000207,.0000414,.0000207,.0000725,77694,.0053672,.0001673,.0003218,.0011326,.0012614,.0006307,.0006822,.0009525,.0003861,0,.0000257,.0000129,.0000772,.0000129,.0000129,.0000257
"Kansas","KS",175379,.001933,.0001026,.0001311,.0006158,.0001939,.0002167,.0002623,.0003079,.0002053,0,.0000228,0,0,.0000114,5.70e-06,.0000627,88477,.0032551,.0001921,.000226,.0011076,.000226,.0003956,.0004634,.0005086,.0003278,0,.0000452,0,0,.0000226,.0000113,.000113,86900,.0005869,.0000115,.0000345,.0001151,.0001611,.0000345,.0000575,.0001036,.0000806,0,0,0,0,0,0,.0000115,21984,.0006368,.0000455,0,.0001365,0,.0000455,.000182,.0002274,.0000455,0,0,0,0,0,.0000455,0,33502,.0010149,.0000298,.0000895,.0002985,.0000298,.0001492,.0000895,.0002089,.0001492,0,.0000298,0,0,0,0,0,41984,.0014053,.0000953,.0000238,.0005716,.0001191,.0001191,.0002144,.0002382,.0001191,0,.0000238,0,0,.0000238,0,.0000476,42170,.0022528,.0000237,.0002371,.0007825,.0002371,.0002134,.0002608,.0003557,.000166,0,0,0,0,.0000237,0,0,35739,.0038333,.0003078,.0002518,.0010633,.0005037,.0005037,.0005316,.0004757,.0005037,0,.000056,0,0,0,0,.0002518
"Kentucky","KY",234131,.001324,.0000342,.0001538,.000363,.0001879,.0001153,.0002136,.0002007,.0000897,4.27e-06,4.27e-06,4.27e-06,4.27e-06,0,0,.0000171,117703,.0021665,.000034,.0002294,.0006287,.0002209,.0002124,.0004078,.0003313,.0001359,0,8.50e-06,0,8.50e-06,0,0,.000017,116424,.0004724,.0000344,.0000773,.0000945,.0001546,.0000172,.0000172,.0000687,.0000429,8.59e-06,0,8.59e-06,0,0,0,.0000172,50432,.0003767,.0000198,.0000198,.000119,.0000397,.0000397,.0000793,.0000595,.0000198,0,0,0,0,0,0,.0000198,51275,.0005851,.0000195,.0000585,.000156,.0000585,.000039,.000078,.000156,.000039,0,0,.0000195,0,0,0,0,51177,.0007621,0,.0000782,.0001759,.0000586,.0000977,.0001368,.0001954,.0000195,0,0,0,0,0,0,0,46446,.0015071,.0000431,.000323,.0002799,.0002584,.0001292,.0002799,.0001722,.0000646,0,0,0,.0000215,0,0,.0000215,34801,.0043677,.0001149,.0003736,.001408,.0006896,.0003448,.0006322,.0005172,.0004023,.0000287,.0000287,0,0,0,0,.0000575
"Louisiana","LA",303616,.0009881,.0000362,.0000922,.0002207,.0001252,.0000889,.0001186,.0002767,.0000659,0,6.59e-06,0,3.29e-06,3.29e-06,3.29e-06,.0000198,151483,.0017098,.0000594,.000132,.0003961,.000198,.0001518,.000231,.0005149,.0000858,0,.0000132,0,6.60e-06,6.60e-06,6.60e-06,.0000264,152061,.0002696,.0000132,.0000526,.000046,.0000526,.0000263,6.58e-06,.0000395,.000046,0,0,0,0,0,0,.0000132,89024,.0003033,0,0,.0000449,.0000337,.0000449,.0000674,.0001123,0,0,0,0,0,0,0,0,67607,.0003846,.0000148,.0000444,.0001183,.0000148,0,.0000148,.0001331,.0000592,0,0,0,0,0,0,.0000148,54711,.0008042,.0000183,.0000366,.0002376,.0000914,0,.0000914,.0002193,.0001279,0,0,0,0,0,0,.0000183,50377,.001191,.0000397,.0000794,.0002184,.0001985,.0001787,.000139,.0003573,.0000199,0,0,0,0,0,.0000199,.0000199,41897,.0034131,.0001671,.0004535,.0007399,.0004535,.0003342,.0004058,.0008354,.0001909,0,.0000477,0,.0000239,.0000239,0,.0000716
"Massachusetts","MA",314068,.0035311,.0001751,.0002834,.0011622,.0006846,.0004935,.0002929,.0004394,.0001751,9.55e-06,.0000509,.0000255,.0000127,.0000191,.0000191,.0000382,157326,.0056062,.0002924,.0003941,.0020403,.0008899,.0008136,.0005085,.0007119,.0002479,.0000191,.0001017,.0000318,.0000191,.0000381,.0000318,.0000508,156720,.0014421,.0000574,.0001723,.0002808,.0004786,.0001659,.0000766,.0001659,.0001021,0,0,.0000191,6.38e-06,0,6.38e-06,.0000255,37533,.0010124,0,.0001066,.0002131,.0001599,.0001599,.0000533,.0002398,.0000799,0,0,0,0,0,0,0,47784,.0013812,.0000419,.0001256,.0003558,.0003348,.0002721,.0001465,.0001256,.0000209,.0000209,.0000209,0,0,0,0,0,57727,.0024252,.0001039,.0002252,.0007969,.0004504,.0002598,.0002079,.0003811,.0001039,0,.000052,.0000173,0,0,.0000173,.0000173,73160,.0029388,.0001914,.000205,.0009295,.0005878,.0004374,.000287,.0003554,.0001367,.0000273,.0000137,.0000273,.0000137,.000041,.0000273,.000041,97864,.0066419,.0003372,.0005211,.0023093,.0012671,.0009094,.0005109,.0007664,.0003576,0,.0001124,.0000511,.0000307,.0000307,.0000307,.0000817
"Maryland","MD",296494,.0021653,.0000776,.0001619,.000742,.0004047,.000226,.0001956,.0002968,.0001383,0,.000027,3.37e-06,.0000101,3.37e-06,.0000169,.0000169,147440,.003459,.0001221,.0002509,.0012954,.0005087,.0004069,.0003527,.0004544,.0001899,0,.0000543,6.78e-06,.0000203,6.78e-06,.0000136,.0000203,149039,.0008857,.0000335,.0000738,.0001946,.0003019,.000047,.0000403,.0001409,.0000872,0,0,0,0,0,.0000201,.0000134,41793,.0007418,0,.0000479,.0002153,.0001196,.0001196,.0000239,.0000718,.0001436,0,0,0,0,0,0,0,55708,.0004847,.000018,.000018,.0001436,.0000718,.0000359,.000018,.0001795,.000018,0,0,0,0,0,.000018,0,54121,.0012195,.0000739,.0000924,.000388,.0003326,.000037,.0001663,.0001293,.0000739,0,.0000185,0,0,.0000185,.0000185,.0000185,60278,.0016922,.0000332,.0000995,.0006968,.000282,.0002654,.0001327,.0001659,.0000498,0,.0000166,0,0,0,.0000166,0,84594,.0049176,.0001891,.0004019,.001655,.0008984,.0004965,.000461,.0006856,.0003192,0,.0000709,.0000118,.0000355,0,.0000236,.0000473
"Maine","ME",78296,.0024778,.0000511,.000281,.0006769,.0003832,.0003065,.0003065,.0004215,.0001022,0,0,.0000128,.0000255,0,.0000128,0,39387,.0039861,.0001016,.000457,.0011425,.0005078,.0005078,.0005332,.0006855,.0001523,0,0,.0000254,.0000508,0,.0000254,0,38905,.000951,0,.0001028,.0002056,.000257,.0001028,.0000771,.0001542,.0000514,0,0,0,0,0,0,0,12748,.000706,0,0,.0002353,.0001569,.0001569,.0001569,0,0,0,0,0,0,0,0,0,17639,.0014173,0,.0001701,.0003968,.0001134,.0000567,.0002268,.0003968,.0000567,0,0,0,0,0,0,0,19539,.0018425,.0001024,.0002047,.000563,.0003071,.0003071,.0001535,.0002559,.0000512,0,0,.0000512,.0000512,0,0,0,17112,.0029804,.0000584,.0002922,.0008181,.0005259,.0002922,.0003506,.0006428,.0000584,0,0,0,.0000584,0,0,0,11258,.0064843,.0000888,.0008883,.0015989,.0009771,.0008883,.0007994,.0008883,.0004441,0,0,0,0,0,.0000888,0
"Michigan","MI",605452,.0033628,.0001817,.0002659,.0007548,.0003221,.0004806,.0006904,.0006276,.0002213,6.61e-06,.0000182,.0000116,9.91e-06,.0000396,.0000248,.000071,305244,.0054841,.0002621,.0004226,.0013235,.0003964,.0008026,.0012023,.0010025,.0003342,9.83e-06,.0000295,.0000164,.0000164,.0000557,.0000262,.0001081,300172,.001206,.0000999,.0001066,.0001766,.0002465,.0001532,.0001699,.0002465,.0001066,3.33e-06,6.66e-06,6.66e-06,3.33e-06,.0000233,.0000233,.0000333,85800,.0007459,.0000699,.0000816,.0001399,.0000233,.0000816,.0002448,.0000583,.0001166,.0000117,0,0,0,.0000117,0,.0000466,99270,.0014304,.0000604,.0001813,.0003022,.0001914,.0002015,.0002317,.0002518,.0000705,0,0,.0000101,0,.0000201,0,.0000302,118552,.0018136,.000059,.0000928,.0004471,.0001687,.0002615,.0003796,.0003458,.0001181,0,8.44e-06,0,0,.0000169,.0000169,.0000169,147146,.0031329,.0001427,.0002515,.0006048,.0002175,.0005097,.0007476,.0006184,.0001835,0,.0000272,.0000136,6.80e-06,.000034,.0000204,.0000408,154684,.0074604,.0004525,.0005689,.0017649,.0007887,.0010214,.0014158,.0014093,.0004913,.0000194,.0000388,.0000259,.0000323,.0000905,.0000646,.000181
"Minnesota","MN",318917,.0037063,.0001505,.0004108,.0008059,.0007275,.0004202,.0004672,.0006303,.0002446,.0000157,.0000439,.0000282,.0000188,3.14e-06,.0000251,.0000157,160822,.0060999,.0002487,.0006405,.0014053,.0010384,.0007399,.0008394,.0010757,.0003606,.0000249,.0000808,.0000373,.0000373,0,.0000435,.0000249,158081,.0012715,.0000506,.0001771,.0001961,.0004112,.0000949,.0000886,.0001771,.0001265,6.33e-06,6.33e-06,.000019,0,6.33e-06,6.33e-06,6.33e-06,31470,.0009533,0,0,.000286,.0001907,.0001589,.0001589,.0000636,.0000953,0,0,0,0,0,0,0,50325,.0016493,.0000596,.0002186,.0003179,.0002385,.0002186,.0001391,.0003775,.0001391,0,.0000199,.0000199,0,0,.0000199,0,70581,.0025219,.000085,.0001558,.0005101,.0004392,.0002692,.0004534,.0004392,.000255,0,.0000425,.0000142,.0000142,0,.0000142,0,86164,.0031916,.0001509,.0003946,.0007312,.0005571,.000325,.000383,.0005687,.0002321,.0000348,.0000348,0,.0000348,.0000116,.0000116,.0000232,80377,.0076639,.0003235,.0009331,.0016547,.0016796,.0008833,.0008958,.0012441,.0003732,.0000249,.0000871,.0000871,.0000249,0,.0000622,.0000373
"Missouri","MO",349877,.0015777,.0000572,.0001115,.0004773,.0001972,.0002229,.0002172,.0002658,.0000857,0,.0000171,2.86e-06,5.72e-06,.0000114,5.72e-06,.0000143,176370,.0026478,.0000907,.0001871,.0008675,.0002608,.0003969,.0003912,.0004366,.0001077,0,.000034,5.67e-06,5.67e-06,.0000227,.0000113,.0000113,173500,.0004899,.0000231,.0000346,.0000807,.0001326,.0000461,.0000403,.0000922,.0000634,0,0,0,5.76e-06,0,0,.0000173,61926,.0004199,.0000323,.0000161,.0001776,.0000323,.0000484,.0000807,.0000484,.0000161,0,0,.0000161,0,0,0,.0000161,74257,.0006868,.0000404,.0000404,.0001481,.0001347,.0001212,.0000404,.0001481,.0000539,0,0,0,.0000135,0,0,.0000269,76936,.0011698,.000013,.000104,.000247,.000169,.000221,.000156,.000221,.000052,0,.000013,0,0,0,0,0,74028,.0019182,.0000811,.0001756,.0006079,.0001486,.0002161,.0002972,.0003647,.0001081,0,.0000135,0,0,.0000405,.0000135,.0000135,62730,.0038737,.0001275,.0002232,.0012912,.0005261,.0005261,.000542,.0005579,.0002072,0,.0000638,0,.0000159,.0000159,.0000159,.0000159
"Mississippi","MS",190911,.0005605,.0000157,.0000838,.0001414,.0000576,.0000733,.0000576,.0001152,.0000314,5.24e-06,5.24e-06,0,5.24e-06,0,0,0,95895,.0009281,.0000209,.0001356,.0002607,.000073,.0001251,.0001043,.0002086,.0000209,0,.0000104,0,.0000104,0,0,0,94996,.0001895,.0000105,.0000316,.0000211,.0000421,.0000211,.0000105,.0000211,.0000421,.0000105,0,0,0,0,0,0,63744,.0001726,0,.0000157,.0000314,0,0,.0000157,.0000941,.0000157,0,0,0,0,0,0,0,49331,.0003446,.0000405,.0000811,.0001014,.0000405,.0000608,0,.0000203,.0000405,.0000203,0,0,.0000203,0,0,0,33593,.0004763,0,.0000893,.0000595,.0000595,.0001488,.0000298,.0000298,.0000595,0,0,0,0,0,0,0,26327,.0009116,0,.000038,.0002279,.0001899,.000114,.000114,.0001899,.000038,0,0,0,0,0,0,0,17916,.0021768,.0000558,.0003907,.0006698,.0001116,.0001674,.0003349,.0005023,0,0,.0000558,0,0,0,0,0
"Montana","MT",61159,.0022074,.0000818,.0002289,.0008993,.0001799,.000278,.0001799,.000278,.0001635,0,.0000327,0,0,.0000164,0,.0000327,30871,.0038224,.0001296,.0003239,.0016844,.0001944,.0005183,.0003239,.0004535,.0003239,0,.0000324,0,0,.0000324,0,.0000648,30283,.0005614,.000033,.0001321,.0000991,.0001651,.000033,.000033,.0000991,0,0,.000033,0,0,0,0,0,11638,.0008593,.0000859,.0002578,.0003437,0,0,.0000859,.0000859,.0000859,0,0,0,0,0,0,.0000859,14626,.0008205,.0000684,.0002051,.0002735,0,.0000684,.0001367,0,.0001367,0,0,0,0,0,0,.0000684,15483,.002196,.0001292,.0000646,.0007105,.0000646,.0005167,.0003229,.0005167,0,0,.0000646,0,0,.0000646,0,0,12282,.0035011,0,.0002443,.0016284,.0005699,.0002443,.0000814,.0004071,.0003257,0,0,0,0,0,0,0,7130,.0050491,.0001403,.000561,.002244,.0004208,.0007013,.0002805,.0004208,.0004208,0,.0001403,0,0,0,0,0
"North Carolina","NC",433416,.0016705,.0000877,.0001592,.0005237,.0002261,.0002007,.000173,.0002792,.0001084,0,.0000277,6.92e-06,9.23e-06,9.23e-06,4.61e-06,.00003,217804,.0026813,.0001331,.0002433,.0008861,.0002893,.0003306,.0003214,.0004545,.0001561,0,.0000459,9.18e-06,.0000184,.0000184,4.59e-06,.0000367,215578,.0006494,.0000417,.0000742,.0001577,.0001624,.0000696,.0000232,.0001021,.0000603,0,9.28e-06,4.64e-06,0,0,4.64e-06,.0000232,92113,.0003148,.0000217,.0000217,.0000977,.0000326,.0000543,.0000217,.0000543,.0000326,0,.0000109,.0000109,0,0,0,0,100473,.0005076,.0000299,.0000299,.0001692,.0000498,.0000597,.0000299,.0001393,.0000299,0,.0000199,0,0,0,0,9.95e-06,87053,.0012981,.0000345,.0001264,.0003561,.0001838,.0001264,.0001264,.0002527,.0001264,0,.000023,0,0,0,.0000115,0,79976,.0020756,.0001,.0001876,.0005252,.0003251,.0002376,.0003126,.0004126,.000075,0,.0000125,0,.0000125,.0000375,0,.0000375,73801,.0049457,.0002981,.0005149,.0017344,.0006504,.0006233,.0004607,.0006368,.0003252,0,.0000813,.0000271,.0000406,.0000135,.0000135,.0001219
"North Dakota","ND",44251,.0025762,.0001356,.0002938,.0008587,.0003842,.0002938,.0003164,.0004068,.0000226,.0000226,.0000678,.0000226,0,.0000226,0,0,22204,.0044136,.0002702,.0004954,.0015763,.0005855,.0004954,.0004954,.0007656,0,.000045,.0001351,.000045,0,.000045,0,0,22045,.0007258,0,.0000907,.0001361,.0001814,.0000907,.0001361,.0000454,.0000454,0,0,0,0,0,0,0,5646,.001594,0,.0001771,.0005313,.0001771,.0001771,.0003542,.0001771,0,0,0,0,0,0,0,0,9052,.0009943,.0001105,0,.0003314,.0001105,.0002209,.0002209,.0001105,0,0,.0001105,0,0,0,0,0,11859,.0021924,0,.0004216,.0005903,.0001686,.0001686,.0003373,.0005059,0,0,0,0,0,0,0,0,11238,.0034704,.000178,.0003559,.0010678,.0005339,.0004449,.0004449,.0006229,0,.000089,0,0,0,.000089,0,0,6456,.0048017,.0004647,.0004647,.0020136,.0010843,.0004647,.0001549,.0004647,.0001549,0,.0003098,.0001549,0,0,0,0
"Nebraska","NE",115378,.0017941,.0001213,.0000953,.0005114,.0002513,.000208,.0002427,.000364,.0001213,0,.000052,8.67e-06,0,0,0,.0000607,58009,.0029133,.0001379,.0001551,.0008275,.0003448,.0003448,.0004654,.0006206,.0001551,0,.000069,.0000172,0,0,0,.0000517,57365,.0006624,.0001046,.0000349,.0001918,.0001569,.0000697,.0000174,.0001046,.0000872,0,.0000349,0,0,0,0,.0000697,14204,.0004224,0,0,.0000704,.0002112,.0000704,0,.0000704,0,0,0,0,0,0,0,0,23378,.0012405,0,.0000428,.0002994,.0001283,.0001283,.0000856,.0005133,.0000428,0,0,0,0,0,0,0,29257,.0013672,.0002051,0,.0003418,.0001367,.0001709,.0002734,.0002734,.0001709,0,.0000684,.0000342,0,0,0,.0001025,27846,.0019392,.0001796,.0000718,.0006105,.0002514,.0003232,.0002514,.0002873,.0001436,0,.0000718,0,0,0,0,.0001077,20693,.0037694,.000145,.0003866,.0011598,.0005799,.00029,.0005316,.0006282,.0001933,0,.0000967,0,0,0,0,.0000483
"New Hampshire","NH",75606,.0035844,.0002248,.0003307,.0010846,.0006878,.0005158,.0003571,.0004497,.0001587,0,.0000529,.0000265,.0000529,.0000529,0,.0000397,38058,.0054653,.0003153,.0004992,.001813,.0007357,.0009196,.0006306,.0006569,.0002102,0,.0001051,.0000263,.0000788,.0000788,0,.0000263,37545,.001678,.0001332,.0001598,.0003463,.0006392,.0001065,.0000799,.0002397,.0001065,0,0,.0000266,.0000266,.0000266,0,.0000533,7083,.0009883,.0002824,.0001412,.0005647,0,0,0,.0002824,0,0,.0002824,0,0,0,0,0,12730,.0018853,.0001571,.0002357,.0002357,.0003928,.0003142,.0002357,.0003142,.0001571,0,.0000786,0,0,0,0,.0000786,16669,.0019197,.00012,.00006,.0005399,.00018,.0003599,.0003,.0004199,.00006,0,0,0,.00006,.00006,0,0,19262,.0031669,.0001038,.0003115,.0010383,.0005192,.0003634,.0004153,.0004153,.0001038,0,0,.0000519,.0000519,0,0,0,19862,.0074011,.0004531,.0007049,.002316,.0017118,.0011076,.0005538,.0006545,.0003524,0,.0000503,.0000503,.0001007,.000151,0,.0001007
